step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786709032.8401,1786709033.2656,2.63533,1.2308,-97.0989,96.9670,75.6044,-83.6484,2.1825,1.0071,-94.2144,96.0635,76.3435,-83.9939,0.9945,1.0071,-94.2144,96.0635,76.3435,-83.9939,0.9945,0,0,0,0,0,0,1
1,1786709033.2668,1786709033.2723,0.42673,1.2308,-97.0989,96.9670,75.6044,-83.6484,2.1825,0.7224,-94.0803,96.0246,76.3786,-84.0704,0.9476,0.7224,-94.0803,96.0246,76.3786,-84.0704,0.9476,0,0,0,0,0,0,1
2,1786709033.3005,1786709033.3051,0.03367,1.2308,-97.0989,96.9670,75.6044,-83.6484,2.1825,0.6898,-93.9221,96.2654,76.3510,-84.2348,0.8735,0.6898,-93.9221,96.2654,76.3510,-84.2348,0.8735,0,0,0,0,0,0,0
3,1786709033.3339,1786709033.3386,0.03345,1.1429,-96.7473,96.7912,75.8681,-83.8242,1.7857,0.7295,-94.0719,96.0562,76.4605,-84.2695,0.8737,0.7295,-94.0719,96.0562,76.4605,-84.2695,0.8737,-50,150,-100,50,-50,-200,0
4,1786709033.3673,1786709033.3719,0.03335,0.9670,-95.7802,96.7033,75.9560,-84.0879,1.5873,0.8705,-93.7071,95.7493,76.3245,-84.1127,0.8273,0.8705,-93.7071,95.7493,76.3245,-84.1127,0.8273,-50,400,0,50,-50,-50,0
5,1786709033.4007,1786709033.4053,0.03338,0.9670,-95.4286,96.5275,75.9560,-84.0879,1.5873,0.8649,-93.9018,95.7603,76.5621,-83.9440,0.8605,0.8649,-93.9018,95.7603,76.5621,-83.9440,0.8605,0,100,-50,-50,0,0,0
6,1786709033.4341,1786709033.4386,0.03342,0.9670,-95.3407,96.3516,75.9560,-84.0879,1.5873,0.8224,-93.8967,96.0309,76.4021,-84.1733,0.8262,0.8224,-93.8967,96.0309,76.4021,-84.1733,0.8262,0,0,-50,0,0,0,0
7,1786709033.4675,1786709033.4721,0.03336,0.9670,-95.2527,96.2637,75.9560,-84.1758,1.5873,0.9508,-93.9805,96.0016,76.4504,-84.2540,0.8296,0.9508,-93.9805,96.0016,76.4504,-84.2540,0.8296,0,50,-50,0,0,0,0
8,1786709033.5008,1786709033.5053,0.03338,0.9670,-95.2527,96.2637,75.9560,-84.1758,1.5873,0.9307,-93.7899,95.7129,76.4031,-84.4012,0.8436,0.9307,-93.7899,95.7129,76.4031,-84.4012,0.8436,0,0,0,0,0,0,0
9,1786709033.5342,1786709033.5388,0.0334,0.9670,-95.2527,96.2637,75.9560,-84.1758,1.5873,0.9891,-93.6880,95.7704,76.3806,-84.2775,0.8504,0.9891,-93.6880,95.7704,76.3806,-84.2775,0.8504,0,0,0,0,0,0,0
10,1786709033.5676,1786709033.5731,0.03336,0.9670,-95.2527,96.2637,75.9560,-84.1758,1.5873,1.0411,-93.8279,95.6884,76.2984,-84.2198,0.8013,1.0411,-93.8279,95.6884,76.2984,-84.2198,0.8013,0,0,0,0,0,0,0
11,1786709033.601,1786709033.6056,0.03341,0.9670,-95.1648,96.0879,75.9560,-84.1758,1.5873,1.1450,-93.6189,95.5317,76.4816,-84.3146,0.8854,1.1450,-93.6189,95.5317,76.4816,-84.3146,0.8854,0,50,-50,0,0,0,0
12,1786709033.6344,1786709033.6389,0.03341,0.9670,-95.0769,96.0879,75.9560,-84.1758,1.5873,0.8380,-93.7823,95.7714,76.3254,-84.5680,0.8132,0.8380,-93.7823,95.7714,76.3254,-84.5680,0.8132,0,0,0,0,0,0,0
13,1786709033.6678,1786709033.6723,0.03339,0.9670,-94.9890,96.0879,75.9560,-84.2637,1.5873,1.0295,-93.8826,95.3423,76.4274,-84.2636,0.8293,1.0295,-93.8826,95.3423,76.4274,-84.2636,0.8293,0,0,0,0,-50,0,0
14,1786709033.7012,1786709033.7056,0.03338,0.9670,-94.9890,96.0879,75.9560,-84.2637,1.5873,0.8885,-93.9017,95.4580,76.4413,-84.4065,0.8565,0.8885,-93.9017,95.4580,76.4413,-84.4065,0.8565,0,0,0,0,0,0,0
15,1786709033.7346,1786709033.7391,0.03343,0.9670,-94.9890,96.0000,75.9560,-84.2637,1.5873,0.9279,-94.0911,95.2994,76.4804,-84.3713,0.8021,0.9279,-94.0911,95.2994,76.4804,-84.3713,0.8021,0,0,-50,0,0,0,0
16,1786709033.7679,1786709033.7725,0.03333,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.9319,-93.8653,95.4870,76.5559,-84.1875,0.8456,0.9319,-93.8653,95.4870,76.5559,-84.1875,0.8456,0,0,-50,0,0,0,0
17,1786709033.8013,1786709033.8059,0.0334,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.8756,-93.8019,95.3458,76.5635,-84.1976,0.8779,0.8756,-93.8019,95.3458,76.5635,-84.1976,0.8779,0,0,0,0,0,0,0
18,1786709033.8348,1786709033.8393,0.03347,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.8330,-93.7802,95.2262,76.4070,-84.0774,0.8991,0.8330,-93.7802,95.2262,76.4070,-84.0774,0.8991,0,0,0,0,0,0,0
19,1786709033.8681,1786709033.8729,0.03333,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.8951,-93.7616,95.2454,76.3666,-84.0135,0.8373,0.8951,-93.7616,95.2454,76.3666,-84.0135,0.8373,0,0,0,0,0,0,0
20,1786709033.9015,1786709033.906,0.03341,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.7680,-93.7584,95.2515,76.5896,-84.0531,0.8786,0.7680,-93.7584,95.2515,76.5896,-84.0531,0.8786,0,0,0,0,0,0,0
21,1786709033.935,1786709033.9406,0.03346,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.9073,-93.8387,95.0833,76.5425,-84.0587,0.8757,0.9073,-93.8387,95.0833,76.5425,-84.0587,0.8757,0,0,0,0,0,0,0
22,1786709033.9683,1786709033.9729,0.03335,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.8725,-93.8776,95.1001,76.6310,-84.1575,0.8872,0.8725,-93.8776,95.1001,76.6310,-84.1575,0.8872,0,0,0,0,0,0,0
23,1786709034.0018,1786709034.0062,0.03344,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.8818,-93.8197,94.9541,76.5656,-84.1380,0.8516,0.8818,-93.8197,94.9541,76.5656,-84.1380,0.8516,0,0,0,0,0,0,0
24,1786709034.0351,1786709034.0395,0.03334,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.9991,-93.6460,95.0138,76.4792,-84.0322,0.8768,0.9991,-93.6460,95.0138,76.4792,-84.0322,0.8768,0,0,0,0,0,0,0
25,1786709034.0685,1786709034.0729,0.03337,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.9175,-93.5723,94.7687,76.5224,-84.0527,0.9439,0.9175,-93.5723,94.7687,76.5224,-84.0527,0.9439,0,0,0,0,0,0,0
26,1786709034.102,1786709034.1065,0.03347,0.9670,-94.9890,95.8242,75.9560,-84.2637,1.5873,0.8517,-93.5526,94.7411,76.4360,-83.9726,0.8836,0.8517,-93.5526,94.7411,76.4360,-83.9726,0.8836,0,0,0,0,0,0,0
27,1786709034.1353,1786709034.14,0.03338,0.9670,-94.9890,95.6484,75.9560,-84.2637,1.5873,0.9011,-93.6153,94.7571,76.4360,-83.8989,0.9109,0.9011,-93.6153,94.7571,76.4360,-83.8989,0.9109,0,0,-100,0,0,0,0
28,1786709034.1688,1786709034.1743,0.03347,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,0.8897,-93.6696,95.0457,76.3957,-83.9851,0.9433,0.8897,-93.6696,95.0457,76.3957,-83.9851,0.9433,0,50,0,0,0,0,0
29,1786709034.2021,1786709034.207,0.03329,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,0.9339,-93.6978,94.7325,76.4925,-83.9077,0.9443,0.9339,-93.6978,94.7325,76.4925,-83.9077,0.9443,0,0,0,0,0,0,0
30,1786709034.2355,1786709034.2402,0.03338,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,1.0745,-93.3686,94.8931,76.4728,-84.1915,0.9809,1.0745,-93.3686,94.8931,76.4728,-84.1915,0.9809,0,0,0,0,0,0,0
31,1786709034.2689,1786709034.2735,0.03346,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,1.0765,-93.6759,94.8217,76.4722,-83.9995,0.9741,1.0765,-93.6759,94.8217,76.4722,-83.9995,0.9741,0,0,0,0,0,0,0
32,1786709034.3023,1786709034.3069,0.03331,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,0.9736,-93.5806,94.9412,76.2506,-83.9794,0.9480,0.9736,-93.5806,94.9412,76.2506,-83.9794,0.9480,0,0,0,0,0,0,0
33,1786709034.3357,1786709034.3401,0.03341,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,0.9821,-93.6651,94.9768,76.2971,-83.9096,0.9462,0.9821,-93.6651,94.9768,76.2971,-83.9096,0.9462,0,0,0,0,0,0,0
34,1786709034.3691,1786709034.3736,0.0334,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,0.9832,-93.4909,94.9089,76.2494,-83.9162,0.9550,0.9832,-93.4909,94.9089,76.2494,-83.9162,0.9550,0,0,0,0,0,0,0
35,1786709034.4024,1786709034.4069,0.03334,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,1.0550,-93.5259,95.0522,76.4235,-84.0006,0.9655,1.0550,-93.5259,95.0522,76.4235,-84.0006,0.9655,0,0,0,0,0,0,0
36,1786709034.4358,1786709034.4404,0.03337,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,1.0703,-93.4505,94.8985,76.1881,-83.9303,0.9242,1.0703,-93.4505,94.8985,76.1881,-83.9303,0.9242,0,0,0,0,0,0,0
37,1786709034.4692,1786709034.4737,0.03343,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,1.1531,-93.4163,94.7578,76.3594,-83.9758,0.9670,1.1531,-93.4163,94.7578,76.3594,-83.9758,0.9670,0,0,0,0,0,0,0
38,1786709034.5026,1786709034.5071,0.03336,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,1.0703,-93.5666,94.9199,76.3877,-83.9954,0.9482,1.0703,-93.5666,94.9199,76.3877,-83.9954,0.9482,0,0,0,-50,0,0,0
39,1786709034.5359,1786709034.5402,0.03335,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,1.1114,-93.5975,94.9957,76.3444,-84.1569,0.9508,1.1114,-93.5975,94.9957,76.3444,-84.1569,0.9508,0,0,0,0,0,0,0
40,1786709034.5694,1786709034.5736,0.03343,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,1.0831,-93.5187,95.1630,76.2889,-84.1553,0.9311,1.0831,-93.5187,95.1630,76.2889,-84.1553,0.9311,0,0,0,0,0,0,0
41,1786709034.6028,1786709034.6071,0.03343,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,1.0491,-93.6819,95.1436,76.4585,-84.2630,1.0153,1.0491,-93.6819,95.1436,76.4585,-84.2630,1.0153,0,0,0,0,0,0,0
42,1786709034.6362,1786709034.6407,0.03337,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,1.0630,-93.6660,95.3796,76.5635,-84.1825,0.9452,1.0630,-93.6660,95.3796,76.5635,-84.1825,0.9452,0,0,0,0,0,0,0
43,1786709034.6695,1786709034.674,0.03338,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,1.0212,-93.7955,95.1996,76.5961,-84.1398,0.9507,1.0212,-93.7955,95.1996,76.5961,-84.1398,0.9507,0,0,0,0,0,0,0
44,1786709034.7029,1786709034.7075,0.03341,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,0.9379,-93.7281,95.2951,76.5353,-84.4755,0.9047,0.9379,-93.7281,95.2951,76.5353,-84.4755,0.9047,0,0,0,0,0,0,0
45,1786709034.7363,1786709034.7407,0.03333,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,0.9981,-93.8281,95.2870,76.6851,-84.2735,0.9623,0.9981,-93.8281,95.2870,76.6851,-84.2735,0.9623,0,0,0,0,0,0,0
46,1786709034.7697,1786709034.7744,0.03344,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,0.9209,-93.6918,95.1871,76.7226,-84.4121,0.8631,0.9209,-93.6918,95.1871,76.7226,-84.4121,0.8631,0,0,0,0,0,0,0
47,1786709034.8031,1786709034.8075,0.03335,0.9670,-94.9011,95.5604,75.8681,-84.2637,1.5873,1.0457,-93.8953,95.2020,76.8162,-84.2687,0.9220,1.0457,-93.8953,95.2020,76.8162,-84.2687,0.9220,0,0,0,0,0,0,0
48,1786709034.8365,1786709034.8409,0.03338,0.9670,-94.9011,95.5604,75.9560,-84.2637,1.5873,1.1213,-93.8543,95.1723,76.8545,-84.4544,0.9763,1.1213,-93.8543,95.1723,76.8545,-84.4544,0.9763,0,0,0,0,0,0,0
49,1786709034.8699,1786709034.8745,0.03345,0.9670,-94.9011,95.5604,76.0440,-84.3516,1.5873,1.0586,-93.8025,95.3630,76.7768,-84.2684,0.9394,1.0586,-93.8025,95.3630,76.7768,-84.2684,0.9394,0,0,0,50,-50,0,0
50,1786709034.9033,1786709035.1242,0.03338,0.9670,-94.9011,95.5604,76.1319,-84.3516,1.5873,1.1040,-96.0956,96.5723,76.4373,-84.5221,1.2300,1.1040,-96.0956,96.5723,76.4373,-84.5221,1.2300,0,0,0,50,0,0,1
51,1786709035.1253,1786709035.1304,0.22203,0.9670,-94.9011,95.5604,76.1319,-84.3516,1.5873,1.1201,-96.1023,96.4433,76.3964,-84.7034,1.1742,1.1201,-96.1023,96.4433,76.3964,-84.7034,1.1742,0,0,0,0,0,0,1
52,1786709035.1586,1786709035.163,0.03329,0.9670,-94.9011,95.5604,76.1319,-84.3516,1.5873,1.2214,-96.1241,96.1982,76.5832,-84.4539,1.1245,1.2214,-96.1241,96.1982,76.5832,-84.4539,1.1245,0,0,0,0,0,0,0
53,1786709035.192,1786709035.1966,0.03343,1.0549,-95.4286,95.8242,76.3077,-84.4396,1.5873,1.0654,-96.1572,96.3595,76.5968,-84.3527,1.0353,1.0654,-96.1572,96.3595,76.5968,-84.3527,1.0353,0,-200,100,50,-50,0,0
54,1786709035.2254,1786709035.23,0.03338,1.0549,-95.8681,95.8242,76.3956,-84.4396,1.5873,1.1657,-96.5289,96.3116,76.8511,-84.3750,1.1147,1.1657,-96.5289,96.3116,76.8511,-84.3750,1.1147,0,-100,0,0,0,0,0
55,1786709035.2588,1786709035.2633,0.03341,1.0549,-95.9560,95.9121,76.4835,-84.4396,1.5873,1.2740,-96.3055,95.9181,76.7518,-84.3791,1.0438,1.2740,-96.3055,95.9181,76.7518,-84.3791,1.0438,0,-50,50,50,0,0,0
56,1786709035.2922,1786709035.2985,0.03338,1.0549,-96.0440,95.9121,76.4835,-84.4396,1.5873,1.0387,-96.5723,96.5768,76.7490,-84.4050,1.0884,1.0387,-96.5723,96.5768,76.7490,-84.4050,1.0884,0,-50,0,0,0,0,0
