step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786708745.4196,1786708745.7188,1.5497,1.4066,-97.0110,96.8791,75.4286,-84.3516,2.9101,2.0403,-95.1118,96.9141,75.6145,-84.0754,2.5506,2.0403,-95.1118,96.9141,75.6145,-84.0754,2.5506,0,0,0,0,0,0,1
1,1786708745.72,1786708745.7256,0.30034,1.4066,-97.0110,96.8791,75.4286,-84.3516,2.9101,1.7449,-95.3701,97.6060,75.5890,-84.7354,2.5004,1.7449,-95.3701,97.6060,75.5890,-84.7354,2.5004,0,0,0,0,0,0,1
2,1786708745.7534,1786708745.7583,0.03338,1.4066,-97.0110,96.8791,75.4286,-84.3516,2.9101,1.4069,-96.5694,98.1711,75.9181,-84.6605,2.5365,1.4069,-96.5694,98.1711,75.9181,-84.6605,2.5365,0,0,0,0,0,0,0
3,1786708745.7867,1786708745.7918,0.03339,1.4066,-96.8352,96.9670,75.4286,-84.3516,2.7778,1.6099,-96.2464,98.2570,76.0102,-84.8615,2.5093,1.6099,-96.2464,98.2570,76.0102,-84.8615,2.5093,0,50,50,0,0,-50,0
4,1786708745.8201,1786708745.8251,0.03338,1.4066,-96.5714,97.1429,75.5165,-84.5275,2.7778,1.9878,-95.6817,97.0743,76.2718,-84.9436,2.3931,1.9878,-95.6817,97.0743,76.2718,-84.9436,2.3931,0,200,0,0,0,0,0
5,1786708745.8536,1786708745.8593,0.03349,1.4066,-96.6593,97.1429,75.6923,-84.7912,2.7778,1.6529,-95.3643,97.7134,76.2168,-84.1385,2.5357,1.6529,-95.3643,97.7134,76.2168,-84.1385,2.5357,0,-50,50,50,-100,0,0
6,1786708745.887,1786708745.8926,0.03341,1.4066,-96.3077,97.0549,75.7802,-84.7912,2.7778,1.9677,-95.2711,97.9076,75.8025,-84.5229,2.5037,1.9677,-95.2711,97.9076,75.8025,-84.5229,2.5037,0,100,-50,0,0,0,0
7,1786708745.9204,1786708745.9261,0.03336,1.4066,-96.2198,97.0549,75.7802,-84.7912,2.7778,1.9752,-95.4343,97.1871,76.4703,-84.6493,2.4473,1.9752,-95.4343,97.1871,76.4703,-84.6493,2.4473,0,50,50,0,0,0,0
8,1786708745.9538,1786708745.9596,0.0334,1.4945,-96.2198,97.0549,75.6923,-84.7033,2.7778,1.8626,-95.8832,97.7465,76.4806,-84.7988,2.3702,1.8626,-95.8832,97.7465,76.4806,-84.7988,2.3702,0,0,0,-50,50,0,0
9,1786708745.9871,1786708745.9924,0.03336,1.5824,-96.2198,97.0549,75.8681,-84.7033,2.7778,1.8662,-96.9328,97.3962,76.4089,-85.0498,2.3079,1.8662,-96.9328,97.3962,76.4089,-85.0498,2.3079,50,0,0,100,0,0,0
10,1786708746.0206,1786708746.0264,0.03342,1.5824,-96.2198,97.0549,76.0440,-84.7033,2.7116,2.1379,-96.0159,97.3398,76.1923,-84.8391,2.4274,2.1379,-96.0159,97.3398,76.1923,-84.8391,2.4274,0,0,0,100,0,-50,0
11,1786708746.0539,1786708746.0601,0.03338,1.5824,-96.3956,97.0549,76.0440,-84.7033,2.5794,1.5733,-95.9643,97.7038,76.2783,-84.6918,2.3927,1.5733,-95.9643,97.7038,76.2783,-84.6918,2.3927,0,0,0,0,0,-50,0
12,1786708746.0874,1786708746.0933,0.03343,1.5824,-96.4835,97.0549,76.0440,-84.7033,2.5794,2.0367,-95.5946,97.3918,76.5366,-84.3300,2.2374,2.0367,-95.5946,97.3918,76.5366,-84.3300,2.2374,0,0,0,0,0,0,0
13,1786708746.1207,1786708746.1266,0.03332,1.5824,-96.3956,97.0549,76.0440,-84.7033,2.5794,1.6531,-95.4360,97.3815,76.4243,-84.6148,2.4210,1.6531,-95.4360,97.3815,76.4243,-84.6148,2.4210,0,0,0,0,0,0,0
14,1786708746.1541,1786708746.1593,0.03345,1.5824,-96.3077,97.0549,76.0440,-84.7033,2.5132,2.0263,-95.9953,97.0430,76.5072,-84.3012,2.3813,2.0263,-95.9953,97.0430,76.5072,-84.3012,2.3813,0,0,0,0,0,-50,0
15,1786708746.1875,1786708746.1933,0.03338,1.5824,-96.3077,97.0549,76.0440,-84.7033,2.5132,1.8549,-95.4523,96.9996,76.2977,-84.9272,2.4738,1.8549,-95.4523,96.9996,76.2977,-84.9272,2.4738,0,0,0,0,0,0,0
16,1786708746.2209,1786708746.2261,0.03339,1.5824,-96.3956,97.0549,76.0440,-84.7033,2.5132,1.9516,-95.0210,96.7299,76.3983,-84.2354,2.3542,1.9516,-95.0210,96.7299,76.3983,-84.2354,2.3542,0,-50,0,0,0,0,0
17,1786708746.2542,1786708746.2599,0.03332,1.5824,-96.2198,97.0549,76.0440,-84.7912,2.5132,2.5445,-96.0816,97.4850,76.7055,-84.8737,2.5076,2.5445,-96.0816,97.4850,76.7055,-84.8737,2.5076,0,50,0,0,0,0,0
18,1786708746.2877,1786708746.2936,0.0335,1.5824,-96.0440,96.9670,76.0440,-84.6154,2.5132,1.6911,-96.2158,97.7206,76.7453,-84.1440,2.3910,1.6911,-96.2158,97.7206,76.7453,-84.1440,2.3910,0,50,-50,0,50,0,0
19,1786708746.3212,1786708746.3268,0.03343,1.7582,-96.1319,96.9670,76.1319,-84.6154,2.5132,1.5013,-95.0294,97.0682,76.5048,-84.5939,2.3332,1.5013,-95.0294,97.0682,76.5048,-84.5939,2.3332,100,-50,0,0,0,0,0
20,1786708746.3545,1786708746.3605,0.03336,1.8462,-96.2198,96.9670,76.2198,-84.5275,2.5132,1.6133,-95.7534,97.1883,76.7154,-84.6605,2.5090,1.6133,-95.7534,97.1883,76.7154,-84.6605,2.5090,0,0,0,50,50,0,0
21,1786708746.3879,1786708746.3936,0.03341,1.8462,-96.0440,96.9670,76.2198,-84.5275,2.5132,1.4712,-96.5955,97.4165,76.1875,-84.8663,2.5768,1.4712,-96.5955,97.4165,76.1875,-84.8663,2.5768,0,50,0,0,0,0,0
22,1786708746.4212,1786708746.4263,0.03332,1.7582,-95.9560,96.9670,76.2198,-84.5275,2.5132,1.5733,-95.6143,96.6093,76.5761,-84.6826,2.5380,1.5733,-95.6143,96.6093,76.5761,-84.6826,2.5380,-50,0,0,0,0,0,0
23,1786708746.4546,1786708746.4597,0.03338,1.7582,-96.3077,96.9670,76.2198,-84.5275,2.5132,1.6430,-96.1167,97.5583,77.0997,-84.2264,2.4605,1.6430,-96.1167,97.5583,77.0997,-84.2264,2.4605,0,-100,0,0,0,0,0
24,1786708746.488,1786708746.4929,0.03338,1.7582,-96.3077,96.8791,76.2198,-84.5275,2.5132,2.0048,-96.3702,97.0334,76.5074,-85.1992,2.5687,2.0048,-96.3702,97.0334,76.5074,-85.1992,2.5687,0,0,0,0,0,0,0
25,1786708746.5214,1786708746.5261,0.03339,1.7582,-96.3956,96.8791,76.4835,-84.5275,2.5132,1.9086,-96.0424,97.4997,76.8119,-84.5696,2.5516,1.9086,-96.0424,97.4997,76.8119,-84.5696,2.5516,0,-50,0,100,0,0,0
26,1786708746.5549,1786708746.5604,0.03347,1.7582,-96.3956,96.8791,76.4835,-84.6154,2.5132,1.7601,-96.7408,97.2907,77.0522,-84.8254,2.5761,1.7601,-96.7408,97.2907,77.0522,-84.8254,2.5761,0,0,0,0,0,0,0
