step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787660430.1972,1787660430.2116,0.06236,-0.116583,-0.460194,2.902292,0.262311,0.059825,-0.019942,-0.115537,-0.464594,2.951485,0.268585,0.077760,-0.017868,-0.115500,-0.464600,2.951500,0.268600,0.077800,-0.017900,,,,,,,1
1,1787660430.234,1787660430.2485,0.03676,-0.116583,-0.460194,2.902292,0.262311,0.059825,-0.019942,-0.109832,-0.454308,2.962580,0.261974,0.067126,-0.015401,-0.109800,-0.454300,2.962600,0.262000,0.067100,-0.015400,,,,,,,1
2,1787660430.2856,1787660430.3005,0.05166,-0.116583,-0.460194,2.902292,0.262311,0.059825,-0.019942,-0.111690,-0.460020,2.954350,0.264940,0.063298,-0.015591,-0.111700,-0.460000,2.954400,0.264900,0.063300,-0.015600,,,,,,,0
3,1787660430.3416,1787660430.3565,0.05599,-0.116583,-0.460194,2.902292,0.262311,0.061359,-0.019942,-0.120475,-0.462761,2.952128,0.268049,0.071491,-0.017217,-0.120500,-0.462800,2.952100,0.268000,0.071500,-0.017200,,,,,,,0
4,1787660430.3795,1787660430.3946,0.03788,-0.116583,-0.454058,2.913030,0.260777,0.069029,-0.019942,-0.118677,-0.462993,2.932687,0.272218,0.069106,-0.021926,-0.118700,-0.463000,2.932700,0.272200,0.069100,-0.021900,,,,,,,0
5,1787660430.4305,1787660430.4455,0.05097,-0.116583,-0.449456,2.922233,0.259243,0.069029,-0.018408,-0.115901,-0.470782,2.925862,0.266239,0.077315,-0.024097,-0.115900,-0.470800,2.925900,0.266200,0.077300,-0.024100,,,,,,,0
6,1787660430.4973,1787660430.5116,0.06678,-0.116583,-0.450990,2.923767,0.257709,0.070563,-0.018408,-0.117098,-0.457850,2.932669,0.266466,0.090641,-0.019835,-0.117100,-0.457900,2.932700,0.266500,0.090600,-0.019800,,,,,,,0
7,1787660430.5362,1787660430.5505,0.03897,-0.116583,-0.450990,2.920699,0.257709,0.070563,-0.018408,-0.104459,-0.457849,2.782600,0.266854,0.083573,-0.017842,-0.104500,-0.457800,2.782600,0.266900,0.083600,-0.017800,,,,,,,0
8,1787660430.5939,1787660430.6086,0.05766,-0.116583,-0.450990,2.920699,0.257709,0.075165,-0.018408,-0.109346,-0.459708,2.727954,0.264516,0.106318,-0.019692,-0.109300,-0.459700,2.728000,0.264500,0.106300,-0.019700,,,,,,,0
9,1787660430.649,1787660430.6634,0.0551,-0.116583,-0.450990,2.920699,0.257709,0.085903,-0.026078,-0.109156,-0.459137,2.679742,0.272137,0.097953,-0.022680,-0.109200,-0.459100,2.679700,0.272100,0.098000,-0.022700,,,,,,,0
10,1787660430.6879,1787660430.7024,0.03891,-0.113515,-0.450990,2.913030,0.259243,0.084369,-0.026078,-0.111258,-0.451730,2.701447,0.263172,0.081603,-0.019963,-0.111300,-0.451700,2.701400,0.263200,0.081600,-0.020000,,,,,,,0
11,1787660430.7444,1787660430.7585,0.05649,-0.113515,-0.450990,2.893088,0.271515,0.095107,-0.026078,-0.109255,-0.458779,2.696452,0.268575,0.084509,-0.017099,-0.109300,-0.458800,2.696500,0.268600,0.084500,-0.017100,,,,,,,0
12,1787660430.7839,1787660430.7974,0.03948,-0.113515,-0.450990,2.857806,0.274583,0.096641,-0.026078,-0.110076,-0.455154,2.737610,0.275973,0.077299,-0.018625,-0.110100,-0.455200,2.737600,0.276000,0.077300,-0.018600,,,,,,,1
13,1787660430.841,1787660430.8545,0.05716,-0.111981,-0.447922,2.781107,0.262311,0.092039,-0.026078,-0.122201,-0.469678,2.772621,0.267838,0.065997,-0.030119,-0.122200,-0.469700,2.772600,0.267800,0.066000,-0.030100,,,,,,,1
14,1787660430.8961,1787660430.9116,0.05509,-0.111981,-0.447922,2.735088,0.271515,0.088971,-0.026078,-0.118898,-0.447436,2.670884,0.270327,0.043981,-0.021197,-0.118900,-0.447400,2.670900,0.270300,0.044000,-0.021200,,,,,,,0
15,1787660430.9351,1787660430.9496,0.039,-0.111981,-0.447922,2.719748,0.271515,0.082835,-0.026078,-0.128383,-0.447109,2.581178,0.260387,0.087258,-0.014492,-0.128400,-0.447100,2.581200,0.260400,0.087300,-0.014500,,,,,,,1
16,1787660430.9958,1787660431.0106,0.06065,-0.113515,-0.447922,2.712078,0.271515,0.069029,-0.026078,-0.136486,-0.445659,2.532978,0.265346,0.079018,-0.015603,-0.136500,-0.445700,2.533000,0.265300,0.079000,-0.015600,,,,,,,1
17,1787660431.0624,1787660431.0767,0.06662,-0.115049,-0.446388,2.705942,0.268447,0.055223,-0.016874,-0.140479,-0.436297,2.508538,0.271925,0.072569,-0.020411,-0.140500,-0.436300,2.508500,0.271900,0.072600,-0.020400,,,,,,,0
18,1787660431.0991,1787660431.1136,0.03672,-0.115049,-0.441786,2.684466,0.265379,0.055223,-0.016874,-0.159240,-0.427026,2.482277,0.271417,0.058493,-0.020479,-0.159200,-0.427000,2.482300,0.271400,0.058500,-0.020500,,,,,,,0
19,1787660431.1508,1787660431.1654,0.05168,-0.124252,-0.440252,2.635379,0.265379,0.072097,-0.016874,-0.164690,-0.409406,2.460327,0.279103,0.085787,-0.005445,-0.164700,-0.409400,2.460300,0.279100,0.085800,-0.005400,,,,,,,0
20,1787660431.2176,1787660431.2324,0.06686,-0.138058,-0.429515,2.563282,0.265379,0.075165,-0.016874,-0.189156,-0.379093,2.432542,0.283743,0.105634,0.002698,-0.189200,-0.379100,2.432500,0.283700,0.105600,0.002700,,,,,,,0
21,1787660431.256,1787660431.2707,0.03837,-0.148796,-0.421845,2.531068,0.265379,0.065961,-0.015340,-0.226941,-0.346653,2.409463,0.285251,0.134872,0.013580,-0.226900,-0.346700,2.409500,0.285300,0.134900,0.013600,,,,,,,0
22,1787660431.3138,1787660431.3287,0.05779,-0.156466,-0.406505,2.489651,0.276117,0.072097,-0.003068,-0.262100,-0.328117,2.385615,0.286181,0.142144,0.027034,-0.262100,-0.328100,2.385600,0.286200,0.142100,0.027000,,,,,,,0
23,1787660431.3805,1787660431.3946,0.06667,-0.179476,-0.369689,2.451301,0.280718,0.111981,0.010738,-0.249824,-0.309248,2.412309,0.288180,0.151691,0.056282,-0.249800,-0.309200,2.412300,0.288200,0.151700,0.056300,,,,,,,0
24,1787660431.4174,1787660431.4314,0.03695,-0.200951,-0.349748,2.432894,0.282252,0.128854,0.016874,-0.253303,-0.300821,2.429074,0.282013,0.163521,0.090878,-0.253300,-0.300800,2.429100,0.282000,0.163500,0.090900,,,,,,,0
25,1787660431.4686,1787660431.4836,0.05114,-0.233165,-0.328272,2.412952,0.283786,0.139592,0.026078,-0.255072,-0.291308,2.444579,0.282095,0.156804,0.098411,-0.255100,-0.291300,2.444600,0.282100,0.156800,0.098400,,,,,,,0
26,1787660431.5353,1787660431.5487,0.06673,-0.251573,-0.305262,2.405282,0.283786,0.156466,0.095107,-0.169727,-0.356847,2.567507,0.280504,0.160469,0.012177,-0.169700,-0.356800,2.567500,0.280500,0.160500,0.012200,,,,,,,0
27,1787660431.5747,1787660431.5896,0.03938,-0.251573,-0.296058,2.416020,0.283786,0.161068,0.095107,-0.168070,-0.356516,2.577534,0.280328,0.154319,0.008873,-0.168100,-0.356500,2.577500,0.280300,0.154300,0.008900,,,,,,,0
28,1787660431.6316,1787660431.6457,0.05687,-0.251573,-0.288388,2.448233,0.283786,0.161068,0.088971,-0.189337,-0.334193,2.528886,0.273033,0.148067,0.014972,-0.189300,-0.334200,2.528900,0.273000,0.148100,0.015000,,,,,,,0
29,1787660431.687,1787660431.7014,0.0555,-0.240835,-0.291456,2.480447,0.283786,0.161068,0.007670,-0.250608,-0.290357,2.456743,0.279069,0.167256,0.086580,-0.250600,-0.290400,2.456700,0.279100,0.167300,0.086600,,,,,,,0
30,1787660431.7261,1787660431.7406,0.03904,-0.217825,-0.305262,2.514195,0.282252,0.161068,0.007670,-0.326931,-0.260705,2.404689,0.313119,0.185670,0.218278,-0.326900,-0.260700,2.404700,0.313100,0.185700,0.218300,,,,,,,0
31,1787660431.7818,1787660431.7957,0.05571,-0.184078,-0.331340,2.563282,0.280718,0.158000,0.030680,-0.356632,-0.250250,2.402082,0.332862,0.189117,0.299289,-0.356600,-0.250200,2.402100,0.332900,0.189100,0.299300,,,,,,,1
32,1787660431.8211,1787660431.8356,0.03929,-0.179476,-0.331340,2.577088,0.280718,0.159534,0.119651,-0.360735,-0.240755,2.397444,0.323910,0.184765,0.331490,-0.360700,-0.240800,2.397400,0.323900,0.184800,0.331500,,,,,,,1
33,1787660431.8835,1787660431.8993,0.06237,-0.185612,-0.311398,2.575554,0.297592,0.182544,0.257709,-0.360347,-0.240007,2.392316,0.310947,0.192275,0.300356,-0.360300,-0.240000,2.392300,0.310900,0.192300,0.300400,,,,,,,0
34,1787660431.9475,1787660431.9615,0.06399,-0.236233,-0.259243,2.551010,0.326738,0.185612,0.331340,-0.421431,-0.193991,2.344766,0.347019,0.170373,0.487508,-0.421400,-0.194000,2.344800,0.347000,0.170400,0.487500,,,,,,,1
35,1787660431.9842,1787660431.9975,0.03677,-0.274583,-0.242369,2.515728,0.326738,0.185612,0.326738,-0.458683,-0.179614,2.310330,0.369604,0.148893,0.496354,-0.458700,-0.179600,2.310300,0.369600,0.148900,0.496400,,,,,,,1
36,1787660432.0359,1787660432.0506,0.05163,-0.320602,-0.236233,2.457437,0.316000,0.190214,0.302194,-0.496884,-0.169101,2.293039,0.375861,0.158505,0.555358,-0.496900,-0.169100,2.293000,0.375900,0.158500,0.555400,,,,,,,0
37,1787660432.1025,1787660432.1175,0.06661,-0.371223,-0.217825,2.396078,0.325204,0.182544,0.455592,-0.532495,-0.171611,2.270251,0.388816,0.150909,0.563445,-0.532500,-0.171600,2.270300,0.388800,0.150900,0.563400,,,,,,,0
38,1787660432.1401,1787660432.1535,0.03765,-0.403437,-0.196350,2.360796,0.342078,0.165670,0.527689,-0.545314,-0.143769,2.263544,0.383120,0.161434,0.588069,-0.545300,-0.143800,2.263500,0.383100,0.161400,0.588100,,,,,,,0
39,1787660432.1908,1787660432.2056,0.05072,-0.450990,-0.167204,2.327049,0.366621,0.158000,0.556835,-0.560396,-0.119796,2.243405,0.377722,0.172947,0.586488,-0.560400,-0.119800,2.243400,0.377700,0.172900,0.586500,,,,,,,0
40,1787660432.2575,1787660432.2725,0.06665,-0.501612,-0.153398,2.294835,0.380427,0.158000,0.585981,-0.571957,-0.095709,2.233630,0.374474,0.200201,0.582097,-0.572000,-0.095700,2.233600,0.374500,0.200200,0.582100,,,,,,,0
41,1787660432.2941,1787660432.3076,0.03661,-0.521553,-0.142660,2.282563,0.380427,0.158000,0.585981,-0.567140,-0.055529,2.229875,0.358699,0.227163,0.575960,-0.567100,-0.055500,2.229900,0.358700,0.227200,0.576000,,,,,,,0
