step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787663020.3964,1787663020.3964,0.0,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,1
1,1787663020.4423,1787663020.4423,0.04593,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
2,1787663020.4984,1787663020.4984,0.05606,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
3,1787663020.5364,1787663020.5364,0.038,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
4,1787663020.5933,1787663020.5933,0.05693,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
5,1787663020.6324,1787663020.6324,0.03907,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
6,1787663020.6903,1787663020.6903,0.05795,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
7,1787663020.7284,1787663020.7284,0.03806,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
8,1787663020.7874,1787663020.7874,0.05899,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
9,1787663020.8544,1787663020.8544,0.067,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
10,1787663020.8934,1787663020.8934,0.039,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
11,1787663020.9334,1787663020.9334,0.04001,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
12,1787663020.9894,1787663020.9894,0.05599,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,,,,,,,0
13,1787663021.0574,1787663021.0574,0.06805,-0.023010,-0.223961,2.978991,-0.696427,0.108913,-0.024544,-0.036816,-0.227029,3.198350,-0.702563,0.118117,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.118117,-0.018408,,,,,,,0
