step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787663304.1573,1787663304.1573,0.0,0.023010,-0.153398,2.969787,-0.625864,0.181010,0.044485,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.049871,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.049871,,,,,,,1
1,1787663304.2063,1787663304.2063,0.04902,0.023010,-0.153398,2.969787,-0.625864,0.181010,0.044485,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,,,,,,,0
2,1787663304.2623,1787663304.2623,0.05602,0.023010,-0.153398,2.969787,-0.625864,0.181010,0.044485,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.049871,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.049871,,,,,,,0
3,1787663304.3013,1787663304.3013,0.03896,0.023010,-0.153398,2.969787,-0.627398,0.181010,0.044485,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,,,,,,,0
4,1787663304.3593,1787663304.3594,0.05804,0.021476,-0.156466,2.969787,-0.648874,0.173340,-0.090505,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.049871,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.049871,,,,,,,0
5,1787663304.4253,1787663304.4253,0.06597,0.004602,-0.174874,2.969787,-0.671884,0.147262,-0.095107,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,,,,,,,0
6,1787663304.4623,1787663304.4623,0.03698,-0.015340,-0.193282,2.969787,-0.691825,0.125786,-0.087437,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.051405,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.051405,,,,,,,0
7,1787663304.5143,1787663304.5143,0.05203,-0.039884,-0.220893,2.969787,-0.717903,0.102777,0.042951,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,,,,,,,0
8,1787663304.5523,1787663304.5523,0.03796,-0.049087,-0.231631,2.969787,-0.727107,0.090505,0.056757,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.051405,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.051405,,,,,,,0
9,1787663304.6093,1787663304.6093,0.05701,-0.053689,-0.236233,2.969787,-0.731709,0.087437,0.041417,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,,,,,,,0
10,1787663304.6653,1787663304.6653,0.056,-0.053689,-0.236233,2.969787,-0.731709,0.085903,-0.042951,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.051405,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.051405,,,,,,,0
11,1787663304.7033,1787663304.7033,0.03799,-0.053689,-0.236233,2.969787,-0.731709,0.087437,-0.027612,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,,,,,,,0
12,1787663304.7603,1787663304.7603,0.05701,-0.053689,-0.236233,2.969787,-0.730175,0.092039,-0.088971,0.032998,-0.157216,3.268163,-0.632750,0.186396,0.051405,0.032998,-0.157216,3.268163,-0.632750,0.186396,0.051405,,,,,,,0
13,1787663304.8003,1787663304.8003,0.03999,-0.052155,-0.236233,2.969787,-0.730175,0.092039,-0.087437,-0.106629,-0.296842,3.128537,-0.772376,0.048303,-0.088221,-0.106629,-0.296842,3.128537,-0.772376,0.048303,-0.088221,,,,,,,0
14,1787663304.8573,1787663304.8573,0.05702,-0.052155,-0.236233,2.969787,-0.730175,0.093573,-0.072097,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.051405,0.032998,-0.157216,3.269697,-0.632750,0.184862,0.051405,,,,,,,0
15,1787663304.8953,1787663304.8953,0.03798,-0.053689,-0.236233,2.969787,-0.734777,0.088971,-0.001534,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,,,,,,,0
16,1787663304.9473,1787663304.9473,0.05202,-0.065961,-0.248505,2.969787,-0.750117,0.070563,-0.023010,0.032998,-0.157216,3.269697,-0.632750,0.186396,0.048337,0.032998,-0.157216,3.269697,-0.632750,0.186396,0.048337,,,,,,,0
17,1787663305.0133,1787663305.0133,0.06599,-0.090505,-0.273049,2.969787,-0.765456,0.052155,-0.085903,-0.106629,-0.296842,3.128537,-0.772376,0.046769,-0.094357,-0.106629,-0.296842,3.128537,-0.772376,0.046769,-0.094357,,,,,,,0
18,1787663305.0523,1787663305.0523,0.03901,-0.092039,-0.274583,2.969787,-0.766990,0.050621,-0.084369,0.032998,-0.157216,3.268163,-0.632750,0.186396,0.045269,0.032998,-0.157216,3.268163,-0.632750,0.186396,0.045269,,,,,,,0
19,1787663305.1093,1787663305.1093,0.057,-0.092039,-0.269981,2.969787,-0.756253,0.062893,0.050621,-0.106629,-0.296842,3.127003,-0.772376,0.046769,-0.088221,-0.106629,-0.296842,3.127003,-0.772376,0.046769,-0.088221,,,,,,,0
20,1787663305.1653,1787663305.1653,0.056,-0.073631,-0.253107,2.971321,-0.737845,0.081301,0.053689,0.032998,-0.154148,3.262027,-0.632750,0.186396,0.051405,0.032998,-0.154148,3.262027,-0.632750,0.186396,0.051405,,,,,,,0
21,1787663305.2033,1787663305.2033,0.038,-0.056757,-0.234699,2.969787,-0.720971,0.101243,0.035282,-0.106629,-0.293774,3.120867,-0.772376,0.049837,-0.097425,-0.106629,-0.293774,3.120867,-0.772376,0.049837,-0.097425,,,,,,,0
22,1787663305.2553,1787663305.2553,0.052,-0.036816,-0.214757,2.971321,-0.701029,0.119651,-0.081301,0.032998,-0.154148,3.260493,-0.632750,0.189464,0.040668,0.032998,-0.154148,3.260493,-0.632750,0.189464,0.040668,,,,,,,0
23,1787663305.3113,1787663305.3113,0.056,-0.027612,-0.208621,2.969787,-0.694893,0.127320,-0.095107,-0.106629,-0.293774,3.122401,-0.772376,0.049837,-0.098959,-0.106629,-0.293774,3.122401,-0.772376,0.049837,-0.098959,,,,,,,0
24,1787663305.3493,1787663305.3493,0.03802,-0.027612,-0.207087,2.971321,-0.693359,0.127320,-0.093573,0.032998,-0.154148,3.268163,-0.632750,0.187930,0.040668,0.032998,-0.154148,3.268163,-0.632750,0.187930,0.040668,,,,,,,0
25,1787663305.4083,1787663305.4083,0.05898,-0.027612,-0.207087,2.969787,-0.693359,0.127320,0.046019,-0.106629,-0.295308,3.128537,-0.772376,0.048303,-0.098959,-0.106629,-0.295308,3.128537,-0.772376,0.048303,-0.098959,,,,,,,0
26,1787663305.4633,1787663305.4633,0.055,-0.027612,-0.207087,2.971321,-0.693359,0.127320,0.049087,0.032998,-0.157216,3.262027,-0.632750,0.187930,0.040668,0.032998,-0.157216,3.262027,-0.632750,0.187930,0.040668,,,,,,,0
27,1787663305.5033,1787663305.5033,0.04001,-0.021476,-0.199418,2.969787,-0.688757,0.130388,0.041417,-0.106629,-0.298376,3.120867,-0.773910,0.048303,-0.098959,-0.106629,-0.298376,3.120867,-0.773910,0.048303,-0.098959,,,,,,,0
28,1787663305.5603,1787663305.5603,0.05698,-0.013806,-0.188680,2.969787,-0.681087,0.139592,-0.098175,0.032998,-0.158750,3.254357,-0.640420,0.187930,0.040668,0.032998,-0.158750,3.254357,-0.640420,0.187930,0.040668,,,,,,,0
29,1787663305.6173,1787663305.6173,0.057,-0.009204,-0.185612,2.969787,-0.674952,0.145728,-0.101243,-0.106629,-0.298376,3.097857,-0.780046,0.046769,-0.098959,-0.106629,-0.298376,3.097857,-0.780046,0.046769,-0.098959,,,,,,,0
30,1787663305.6553,1787663305.6553,0.03801,-0.009204,-0.184078,2.971321,-0.674952,0.145728,-0.096641,0.032998,-0.158750,3.192998,-0.637352,0.186396,0.042202,0.032998,-0.158750,3.192998,-0.637352,0.186396,0.042202,,,,,,,1
31,1787663305.7124,1787663305.7124,0.05704,-0.009204,-0.184078,2.969787,-0.674952,0.145728,0.041417,-0.106629,-0.298376,3.015022,-0.773910,0.046769,-0.097425,-0.106629,-0.298376,3.015022,-0.773910,0.046769,-0.097425,,,,,,,0
32,1787663305.7523,1787663305.7523,0.03995,-0.009204,-0.184078,2.971321,-0.674952,0.145728,0.046019,0.032998,-0.158750,3.056474,-0.631216,0.184862,0.042202,0.032998,-0.158750,3.056474,-0.631216,0.184862,0.042202,,,,,,,0
33,1787663305.8093,1787663305.8093,0.057,-0.003068,-0.176408,2.969787,-0.664214,0.158000,0.035282,-0.106629,-0.298376,2.815605,-0.760105,0.043701,-0.097425,-0.106629,-0.298376,2.815605,-0.760105,0.043701,-0.097425,,,,,,,0
34,1787663305.8643,1787663305.8643,0.05503,0.009204,-0.161068,2.969787,-0.648874,0.171806,-0.052155,0.032998,-0.158750,2.849386,-0.572925,0.183328,0.042202,0.032998,-0.158750,2.849386,-0.572925,0.183328,0.042202,,,,,,,0
35,1787663305.9043,1787663305.9043,0.04,0.019942,-0.156466,2.968253,-0.638136,0.181010,-0.033748,-0.106629,-0.298376,2.651469,-0.664998,0.043701,-0.097425,-0.106629,-0.298376,2.651469,-0.664998,0.043701,-0.097425,,,,,,,0
36,1787663305.9603,1787663305.9603,0.05598,0.024544,-0.156466,2.963651,-0.635068,0.181010,-0.099709,0.032998,-0.158750,2.679114,-0.407255,0.183328,0.042202,0.032998,-0.158750,2.679114,-0.407255,0.183328,0.042202,,,,,,,0
37,1787663306.0003,1787663306.0003,0.03999,0.024544,-0.162602,2.939107,-0.635068,0.177942,-0.099709,-0.106629,-0.298376,2.471993,-0.470182,0.043701,-0.097425,-0.106629,-0.298376,2.471993,-0.470182,0.043701,-0.097425,,,,,,,0
38,1787663306.0563,1787663306.0563,0.05601,0.024544,-0.181010,2.876214,-0.648874,0.158000,-0.088971,0.032998,-0.160284,2.493503,-0.178692,0.183328,0.042202,0.032998,-0.160284,2.493503,-0.178692,0.183328,0.042202,,,,,,,0
39,1787663306.0963,1787663306.0963,0.04,0.016874,-0.197884,2.827127,-0.656544,0.148796,-0.012272,-0.106629,-0.299910,2.226556,-0.166454,0.043701,-0.097425,-0.106629,-0.299910,2.226556,-0.166454,0.043701,-0.097425,,,,,,,0
40,1787663306.1473,1787663306.1473,0.051,0.000000,-0.223961,2.741224,-0.651942,0.124252,-0.039884,0.031464,-0.160284,2.294085,0.059075,0.183328,0.042202,0.031464,-0.160284,2.294085,0.059075,0.183328,0.042202,,,,,,,0
41,1787663306.2033,1787663306.2033,0.056,-0.032214,-0.254641,2.635379,-0.615126,0.088971,-0.095107,-0.134240,-0.296842,1.962711,0.151080,0.043701,-0.097425,-0.134240,-0.296842,1.962711,0.151080,0.043701,-0.097425,,,,,,,0
42,1787663306.2533,1787663306.2533,0.04997,-0.065961,-0.268447,2.537204,-0.564505,0.061359,-0.062893,-0.046769,-0.154148,2.007231,0.437969,0.181794,0.046803,-0.046769,-0.154148,2.007231,0.437969,0.181794,0.046803,,,,,,,0
43,1787663306.3203,1787663306.3203,0.06701,-0.099709,-0.268447,2.411418,-0.463262,0.049087,0.049087,-0.207871,-0.293774,1.827721,0.376575,0.042167,-0.088221,-0.207871,-0.293774,1.827721,0.376575,0.042167,-0.088221,,,,,,,0
44,1787663306.3573,1787663306.3573,0.037,-0.115049,-0.268447,2.339321,-0.397301,0.049087,0.024544,-0.115799,-0.154148,1.921328,0.641988,0.183328,0.056007,-0.115799,-0.154148,1.921328,0.641988,0.183328,0.056007,,,,,,,0
45,1787663306.4083,1787663306.4083,0.05101,-0.121184,-0.265379,2.225806,-0.277651,0.059825,0.044485,-0.299910,-0.293774,1.767896,0.554517,0.043701,-0.071347,-0.299910,-0.293774,1.767896,0.554517,0.043701,-0.071347,,,,,,,0
46,1787663306.4753,1787663306.4753,0.06701,-0.118117,-0.239301,2.107690,-0.098175,0.095107,0.038350,-0.283002,-0.152614,1.899852,0.776978,0.183328,0.218609,-0.283002,-0.152614,1.899852,0.776978,0.183328,0.218609,,,,,,,0
47,1787663306.5123,1787663306.5123,0.03697,-0.118117,-0.213223,2.050932,0.010738,0.122718,0.053689,-0.454842,-0.292240,1.760226,0.646556,0.043701,0.164886,-0.454842,-0.292240,1.760226,0.646556,0.043701,0.164886,,,,,,,0
48,1787663306.5633,1787663306.5633,0.05101,-0.121184,-0.184078,1.972699,0.167204,0.156466,-0.067495,-0.388847,-0.149546,1.899852,0.790784,0.181794,0.502396,-0.388847,-0.149546,1.899852,0.790784,0.181794,0.502396,,,,,,,0
49,1787663306.6003,1787663306.6003,0.037,-0.139592,-0.170272,1.917476,0.260777,0.171806,-0.073631,-0.554551,-0.276901,1.760226,0.651158,0.042167,0.419527,-0.554551,-0.276901,1.760226,0.651158,0.042167,0.419527,,,,,,,0
