step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787663149.1073,1787663149.1073,0.0,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,1
1,1787663149.1763,1787663149.1763,0.06901,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
2,1787663149.2143,1787663149.2143,0.03799,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
3,1787663149.2713,1787663149.2713,0.057,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
4,1787663149.3103,1787663149.3103,0.03901,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
5,1787663149.3673,1787663149.3673,0.05699,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
6,1787663149.4233,1787663149.4233,0.05601,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
7,1787663149.4623,1787663149.4623,0.039,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
8,1787663149.5183,1787663149.5183,0.056,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
9,1787663149.5573,1787663149.5573,0.03899,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
10,1787663149.6173,1787663149.6173,0.06,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
11,1787663149.6823,1787663149.6823,0.06499,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
12,1787663149.7223,1787663149.7223,0.04,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,,,,,,,0
