step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787663257.8903,1787663257.8903,0.0,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,1
1,1787663257.9593,1787663257.9593,0.06902,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
2,1787663257.9973,1787663257.9973,0.03798,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
3,1787663258.0543,1787663258.0543,0.057,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
4,1787663258.0943,1787663258.0943,0.04001,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
5,1787663258.1513,1787663258.1513,0.05699,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
6,1787663258.2063,1787663258.2063,0.05499,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
7,1787663258.2453,1787663258.2453,0.039,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
8,1787663258.3023,1787663258.3023,0.05699,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
9,1787663258.3583,1787663258.3583,0.056,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
10,1787663258.3983,1787663258.3983,0.04,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
11,1787663258.4543,1787663258.4543,0.05601,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
12,1787663258.4943,1787663258.4943,0.03999,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,,,,,,,0
13,1787663258.5513,1787663258.5513,0.05701,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.118117,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.118117,-0.018408,,,,,,,0
14,1787663258.5903,1787663258.5903,0.03899,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
15,1787663258.6483,1787663258.6483,0.058,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
16,1787663258.7153,1787663258.7153,0.06702,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,,,,,,,0
17,1787663258.7543,1787663258.7543,0.03901,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,,,,,,,0
18,1787663258.7893,1787663258.7893,0.03497,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,,,,,,,0
19,1787663258.8513,1787663258.8513,0.062,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,,,,,,,0
20,1787663258.9183,1787663258.9183,0.067,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.223961,3.192214,-0.702563,0.116583,-0.018408,-0.036816,-0.223961,3.192214,-0.702563,0.116583,-0.018408,,,,,,,0
21,1787663258.9563,1787663258.9563,0.03801,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.223961,3.190680,-0.702563,0.119650,-0.027612,-0.036816,-0.223961,3.190680,-0.702563,0.119650,-0.027612,,,,,,,0
22,1787663258.9963,1787663258.9963,0.03999,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.223961,3.190680,-0.702563,0.119650,-0.029146,-0.036816,-0.223961,3.190680,-0.702563,0.119650,-0.029146,,,,,,,0
23,1787663259.0533,1787663259.0533,0.057,-0.042951,-0.222427,2.972855,-0.696427,0.115049,-0.026078,-0.036816,-0.223961,3.192214,-0.702563,0.119650,-0.029146,-0.036816,-0.223961,3.192214,-0.702563,0.119650,-0.029146,,,,,,,0
24,1787663259.1093,1787663259.1093,0.05601,-0.042951,-0.222427,2.972855,-0.696427,0.118117,-0.026078,-0.036816,-0.223961,3.198350,-0.702563,0.118117,-0.029146,-0.036816,-0.223961,3.198350,-0.702563,0.118117,-0.029146,,,,,,,0
25,1787663259.1483,1787663259.1483,0.03899,-0.042951,-0.222427,2.972855,-0.696427,0.118117,-0.026078,-0.036816,-0.225495,3.198350,-0.702563,0.118117,-0.029146,-0.036816,-0.225495,3.198350,-0.702563,0.118117,-0.029146,,,,,,,0
26,1787663259.2053,1787663259.2053,0.05701,-0.042951,-0.222427,2.972855,-0.696427,0.118117,-0.026078,-0.036816,-0.227029,3.192214,-0.702563,0.118117,-0.029146,-0.036816,-0.227029,3.192214,-0.702563,0.118117,-0.029146,,,,,,,0
27,1787663259.2443,1787663259.2443,0.039,-0.042951,-0.222427,2.972855,-0.696427,0.118117,-0.026078,-0.036816,-0.228563,3.190680,-0.704097,0.118117,-0.029146,-0.036816,-0.228563,3.190680,-0.704097,0.118117,-0.029146,,,,,,,0
28,1787663259.3013,1787663259.3013,0.057,-0.042951,-0.222427,2.972855,-0.696427,0.118117,-0.026078,-0.036816,-0.228563,3.184544,-0.710233,0.118117,-0.029146,-0.036816,-0.228563,3.184544,-0.710233,0.118117,-0.029146,,,,,,,0
29,1787663259.3573,1787663259.3573,0.05599,-0.042951,-0.222427,2.972855,-0.696427,0.118117,-0.026078,-0.036816,-0.228563,3.167670,-0.710233,0.116583,-0.029146,-0.036816,-0.228563,3.167670,-0.710233,0.116583,-0.029146,,,,,,,0
30,1787663259.3963,1787663259.3963,0.03901,-0.042951,-0.222427,2.972855,-0.696427,0.118117,-0.026078,-0.036816,-0.228563,3.123185,-0.707165,0.116583,-0.027612,-0.036816,-0.228563,3.123185,-0.707165,0.116583,-0.027612,,,,,,,1
31,1787663259.4533,1787663259.4533,0.05699,-0.042951,-0.222427,2.972855,-0.702563,0.118117,-0.026078,-0.036816,-0.228563,3.084835,-0.704097,0.116583,-0.027612,-0.036816,-0.228563,3.084835,-0.704097,0.116583,-0.027612,,,,,,,0
32,1787663259.5093,1787663259.5093,0.05602,-0.042951,-0.222427,2.972855,-0.702563,0.118117,-0.026078,-0.036816,-0.228563,2.986660,-0.701029,0.115049,-0.027612,-0.036816,-0.228563,2.986660,-0.701029,0.115049,-0.027612,,,,,,,0
33,1787663259.5483,1787663259.5483,0.03899,-0.042951,-0.222427,2.972855,-0.702563,0.118117,-0.026078,-0.036816,-0.228563,2.885418,-0.690291,0.113515,-0.027612,-0.036816,-0.228563,2.885418,-0.690291,0.113515,-0.027612,,,,,,,0
34,1787663259.6053,1787663259.6053,0.05698,-0.042951,-0.222427,2.972855,-0.702563,0.118117,-0.026078,-0.036816,-0.228563,2.779573,-0.642738,0.113515,-0.027612,-0.036816,-0.228563,2.779573,-0.642738,0.113515,-0.027612,,,,,,,0
35,1787663259.6453,1787663259.6453,0.04003,-0.042951,-0.222427,2.972855,-0.702563,0.118117,-0.026078,-0.036816,-0.228563,2.721282,-0.595185,0.113515,-0.027612,-0.036816,-0.228563,2.721282,-0.595185,0.113515,-0.027612,,,,,,,0
36,1787663259.7003,1787663259.7003,0.05498,-0.042951,-0.222427,2.962117,-0.691825,0.118117,-0.026078,-0.036816,-0.228563,2.609301,-0.477068,0.113515,-0.027612,-0.036816,-0.228563,2.609301,-0.477068,0.113515,-0.027612,,,,,,,0
37,1787663259.7403,1787663259.7403,0.04,-0.042951,-0.222427,2.937573,-0.681087,0.118117,-0.026078,-0.036816,-0.228563,2.541806,-0.400369,0.113515,-0.027612,-0.036816,-0.228563,2.541806,-0.400369,0.113515,-0.027612,,,,,,,0
38,1787663259.7923,1787663259.7923,0.05203,-0.042951,-0.222427,2.883884,-0.645806,0.118117,-0.026078,-0.036816,-0.230097,2.423690,-0.248505,0.113515,-0.027612,-0.036816,-0.230097,2.423690,-0.248505,0.113515,-0.027612,,,,,,,0
39,1787663259.8583,1787663259.8583,0.06599,-0.042951,-0.222427,2.788777,-0.579845,0.118117,-0.026078,-0.036816,-0.230097,2.296369,-0.096641,0.113515,-0.027612,-0.036816,-0.230097,2.296369,-0.096641,0.113515,-0.027612,,,,,,,0
40,1787663259.8953,1787663259.8953,0.03701,-0.042951,-0.222427,2.727418,-0.532291,0.118117,-0.026078,-0.038350,-0.230097,2.224272,-0.010738,0.113515,-0.027612,-0.038350,-0.230097,2.224272,-0.010738,0.113515,-0.027612,,,,,,,0
41,1787663259.9473,1787663259.9473,0.05198,-0.042951,-0.222427,2.633845,-0.443320,0.118117,-0.026078,-0.064427,-0.227029,2.032525,0.220893,0.113515,-0.027612,-0.064427,-0.227029,2.032525,0.220893,0.113515,-0.027612,,,,,,,0
42,1787663260.0133,1787663260.0133,0.066,-0.042951,-0.222427,2.512661,-0.319068,0.118117,-0.026078,-0.116583,-0.223961,1.937418,0.368155,0.111981,-0.023010,-0.116583,-0.223961,1.937418,0.368155,0.111981,-0.023010,,,,,,,0
43,1787663260.0513,1787663260.0513,0.03801,-0.042951,-0.222427,2.445165,-0.246971,0.118117,-0.026078,-0.138058,-0.223961,1.897534,0.446388,0.111981,-0.018408,-0.138058,-0.223961,1.897534,0.446388,0.111981,-0.018408,,,,,,,0
44,1787663260.1013,1787663260.1013,0.05,-0.044485,-0.222427,2.340855,-0.133456,0.118117,-0.026078,-0.185612,-0.223961,1.851515,0.572175,0.113515,-0.013806,-0.185612,-0.223961,1.851515,0.572175,0.113515,-0.013806,,,,,,,0
45,1787663260.1683,1787663260.1683,0.06701,-0.073631,-0.220893,2.199728,0.029146,0.118117,-0.026078,-0.230097,-0.223961,0.790511,0.624330,0.113515,-0.001534,-0.230097,-0.223961,0.790511,0.624330,0.113515,-0.001534,,,,,,,0
46,1787663260.2053,1787663260.2053,0.03698,-0.098175,-0.220893,2.129165,0.116583,0.118117,-0.021476,-0.352816,-0.222427,1.830039,0.707165,0.113515,0.148796,-0.352816,-0.222427,1.830039,0.707165,0.113515,0.148796,,,,,,,0
47,1787663260.2533,1787663260.2533,0.04801,-0.141126,-0.219359,2.037126,0.240835,0.118117,-0.016874,-0.385029,-0.222427,1.830039,0.716369,0.113515,0.234699,-0.385029,-0.222427,1.830039,0.716369,0.113515,0.234699,,,,,,,0
48,1787663260.2943,1787663260.2943,0.04101,-0.167204,-0.219359,1.980369,0.322136,0.118117,0.021476,-0.458660,-0.219359,1.830039,0.720971,0.111981,0.432583,-0.458660,-0.219359,1.830039,0.720971,0.111981,0.432583,,,,,,,0
49,1787663260.3453,1787663260.3453,0.05098,-0.217825,-0.219359,1.905204,0.437185,0.118117,0.158000,-0.484738,-0.207087,1.830039,0.720971,0.111981,0.489340,-0.484738,-0.207087,1.830039,0.720971,0.111981,0.489340,,,,,,,0
50,1787663260.4113,1787663260.4113,0.06599,-0.306796,-0.216291,1.839243,0.556835,0.118117,0.380427,-0.520019,-0.191748,1.830039,0.720971,0.111981,0.543029,-0.520019,-0.191748,1.830039,0.720971,0.111981,0.543029,,,,,,,0
51,1787663260.4483,1787663260.4483,0.03701,-0.355884,-0.214757,1.819301,0.610524,0.118117,0.460194,-0.553767,-0.188680,1.830039,0.720971,0.111981,0.547631,-0.553767,-0.188680,1.830039,0.720971,0.111981,0.547631,,,,,,,0
52,1787663260.5003,1787663260.5003,0.052,-0.417243,-0.200951,1.808563,0.667282,0.118117,0.490874,-0.567573,-0.182544,1.830039,0.720971,0.111981,0.549165,-0.567573,-0.182544,1.830039,0.720971,0.111981,0.549165,,,,,,,0
53,1787663260.5663,1787663260.5663,0.06602,-0.480136,-0.187146,1.820835,0.707165,0.118117,0.549165,-0.573709,-0.171806,1.830039,0.722505,0.110447,0.549165,-0.573709,-0.171806,1.830039,0.722505,0.110447,0.549165,,,,,,,0
54,1787663260.6033,1787663260.6033,0.03698,-0.512350,-0.181010,1.834641,0.716369,0.118117,0.549165,-0.581379,-0.138058,1.830039,0.722505,0.110447,0.549165,-0.581379,-0.138058,1.830039,0.722505,0.110447,0.549165,,,,,,,0
55,1787663260.6543,1787663260.6543,0.05099,-0.546097,-0.176408,1.836175,0.716369,0.118117,0.549165,-0.581379,-0.110447,1.830039,0.722505,0.107379,0.549165,-0.581379,-0.110447,1.830039,0.722505,0.107379,0.549165,,,,,,,0
56,1787663260.6913,1787663260.6913,0.037,-0.558369,-0.171806,1.836175,0.716369,0.118117,0.549165,-0.581379,-0.093573,1.830039,0.722505,0.095107,0.549165,-0.581379,-0.093573,1.830039,0.722505,0.095107,0.549165,,,,,,,0
57,1787663260.7433,1787663260.7433,0.05201,-0.570641,-0.150330,1.834641,0.717903,0.118117,0.549165,-0.581379,-0.058291,1.830039,0.722505,0.038350,0.549165,-0.581379,-0.058291,1.830039,0.722505,0.038350,0.549165,,,,,,,0
