step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787663063.5053,1787663063.5053,0.0,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,1
1,1787663063.5733,1787663063.5733,0.068,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
2,1787663063.6123,1787663063.6123,0.039,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
3,1787663063.6683,1787663063.6683,0.056,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
4,1787663063.7073,1787663063.7073,0.039,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
5,1787663063.7663,1787663063.7663,0.059,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
6,1787663063.8323,1787663063.8323,0.06602,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
7,1787663063.8713,1787663063.8713,0.03898,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
8,1787663063.9113,1787663063.9113,0.04,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.027612,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
9,1787663063.9673,1787663063.9673,0.05598,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
10,1787663064.0233,1787663064.0233,0.05601,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
11,1787663064.0633,1787663064.0633,0.04,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.024544,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
