step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1700000000.0000,1700000000.0020,0.0000,-53.1429,-23.8681,56.7033,54.9011,-107.6923,33.1854,-53.1429,-23.8681,56.7033,54.9011,-107.6923,33.1854,-53.1429,-23.8681,56.7033,54.9011,-107.6923,33.1854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
1,1700000000.2200,1700000000.2220,0.2200,-53.1429,-23.8681,56.7033,54.9011,-107.6923,33.1854,-61.7582,-30.1978,47.8242,46.9011,-115.6923,25.4461,-61.7582,-30.1978,47.8242,46.9011,-115.6923,25.4461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
2,1700000000.2533,1700000000.2553,0.0333,-55.1550,-25.5063,54.4468,53.0584,-109.5991,31.0752,-54.1978,-20.4396,54.5055,54.9011,-107.6923,32.2522,-54.1978,-20.4396,54.5055,54.9011,-107.6923,32.2522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3,1700000000.2867,1700000000.2887,0.0333,-54.9314,-24.1950,54.4617,53.4829,-109.1446,31.3961,-62.5494,-26.5055,44.8352,46.9890,-115.7802,24.7462,-62.5494,-26.5055,44.8352,46.9890,-115.7802,24.7462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4,1700000000.3200,1700000000.3220,0.0333,-56.7106,-24.7930,52.0152,51.9871,-110.7262,29.5830,-54.7253,-16.4835,50.8132,55.2527,-107.7802,31.9412,-54.7253,-16.4835,50.8132,55.2527,-107.7802,31.9412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5,1700000000.3533,1700000000.3553,0.0333,-56.2470,-22.6424,51.7097,52.7393,-110.0240,30.2260,-62.8132,-22.3736,40.6154,47.6044,-116.4835,24.6685,-62.8132,-22.3736,40.6154,47.6044,-116.4835,24.6685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6,1700000000.3867,1700000000.3887,0.0333,-57.7805,-22.5728,48.8902,51.5565,-111.5637,28.7107,-54.9890,-12.1758,46.1538,56.4835,-109.1868,31.9412,-54.9890,-12.1758,46.1538,56.4835,-109.1868,31.9412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7,1700000000.4200,1700000000.4220,0.0333,-57.1286,-19.8820,48.1948,52.6914,-110.9971,29.5915,-63.5165,-17.9780,35.6044,49.9780,-117.9780,24.6685,-63.5165,-17.9780,35.6044,49.9780,-117.9780,24.6685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8,1700000000.4533,1700000000.4553,0.0333,-58.6205,-19.3892,44.9951,52.0664,-112.6611,28.2492,-55.8681,-8.0440,40.7912,59.9121,-110.8571,31.9412,-55.8681,-8.0440,40.7912,59.9121,-110.8571,31.9412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9,1700000000.4867,1700000000.4887,0.0333,-57.9777,-16.4530,43.9267,53.8735,-112.2311,29.2558,-64.1319,-14.1099,30.3297,53.9341,-119.5604,24.6685,-64.1319,-14.1099,30.3297,53.9341,-119.5604,24.6685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,1700000000.5200,1700000000.5220,0.0333,-59.4150,-15.8465,40.4712,53.8875,-113.9781,28.0051,-56.3077,-4.4396,36.2198,63.6923,-111.7363,31.9412,-56.3077,-4.4396,36.2198,63.6923,-111.7363,31.9412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11,1700000000.5533,1700000000.5553,0.0333,-58.6893,-12.8943,39.3907,56.1459,-113.4437,29.0783,-64.3077,-11.0330,26.6374,56.8352,-119.8242,24.6685,-64.3077,-11.0330,26.6374,56.8352,-119.8242,24.6685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12,1700000000.5867,1700000000.5887,0.0333,-60.0015,-12.4126,36.1496,56.3046,-114.9645,27.8759,-56.4835,-1.7143,33.4066,65.4506,-111.7363,31.9412,-56.4835,-1.7143,33.4066,65.4506,-111.7363,31.9412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13,1700000000.6200,1700000000.6220,0.0333,-59.1798,-9.6437,35.4525,58.4113,-114.1951,28.9843,-64.5714,-8.6593,24.9670,57.6264,-119.6484,24.6685,-64.5714,-8.6593,24.9670,57.6264,-119.6484,24.6685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
14,1700000000.6533,1700000000.6553,0.0333,-60.4391,-9.3890,32.7877,58.2305,-115.4949,27.8076,-56.9231,-0.0440,32.7912,65.6264,-111.6484,31.9412,-56.9231,-0.0440,32.7912,65.6264,-111.6484,31.9412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
15,1700000000.6867,1700000000.6887,0.0333,-59.6179,-6.9704,32.7886,59.9340,-114.5780,28.9346,-65.3626,-7.7802,24.6154,57.5385,-119.6484,24.6685,-65.3626,-7.7802,24.6154,57.5385,-119.6484,24.6685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
