step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787907408.183,1787907408.198,0.06307,-0.041417,-0.463262,2.839398,0.437185,1.696583,-0.046019,-0.042978,-0.464912,2.819195,0.428549,1.339275,-0.038259,-0.043000,-0.464900,2.819200,0.428500,1.339300,-0.038300,,,,,,,1
1,1787907408.2496,1787907408.2631,0.06655,-0.041417,-0.463262,2.839398,0.437185,1.696583,-0.046019,-0.043763,-0.473195,2.818872,0.431659,1.337298,-0.038185,-0.043800,-0.473200,2.818900,0.431700,1.337300,-0.038200,,,,,,,1
2,1787907408.2881,1787907408.303,0.03855,-0.041417,-0.463262,2.839398,0.437185,1.696583,-0.046019,-0.040673,-0.468348,2.820061,0.432333,1.333675,-0.038472,-0.040700,-0.468300,2.820100,0.432300,1.333700,-0.038500,,,,,,,0
3,1787907408.3446,1787907408.3581,0.05651,-0.041417,-0.463262,2.833263,0.435651,1.687379,-0.046019,-0.043160,-0.471355,2.815253,0.432761,1.329454,-0.038318,-0.043200,-0.471400,2.815300,0.432800,1.329500,-0.038300,,,,,,,0
4,1787907408.3999,1787907408.414,0.05525,-0.041417,-0.469398,2.831729,0.434117,1.639825,-0.046019,-0.043487,-0.466582,2.814460,0.430254,1.324873,-0.038589,-0.043500,-0.466600,2.814500,0.430300,1.324900,-0.038600,,,,,,,0
5,1787907408.4396,1787907408.4531,0.03973,-0.041417,-0.472466,2.831729,0.434117,1.599942,-0.046019,-0.041619,-0.472686,2.805509,0.425171,1.315855,-0.037447,-0.041600,-0.472700,2.805500,0.425200,1.315900,-0.037400,,,,,,,0
6,1787907408.4959,1787907408.5091,0.05627,-0.041417,-0.469398,2.827127,0.434117,1.510971,-0.046019,-0.038970,-0.474323,2.803674,0.424086,1.311180,-0.034469,-0.039000,-0.474300,2.803700,0.424100,1.311200,-0.034500,,,,,,,0
7,1787907408.5346,1787907408.5491,0.03871,-0.041417,-0.469398,2.827127,0.434117,1.457282,-0.046019,-0.040631,-0.470547,2.801483,0.427937,1.305611,-0.036002,-0.040600,-0.470500,2.801500,0.427900,1.305600,-0.036000,,,,,,,0
8,1787907408.595,1787907408.6091,0.06038,-0.041417,-0.470932,2.819457,0.426447,1.383651,-0.039884,-0.042819,-0.469989,2.792913,0.418363,1.293634,-0.035940,-0.042800,-0.470000,2.792900,0.418400,1.293600,-0.035900,,,,,,,0
9,1787907408.6615,1787907408.677,0.06651,-0.041417,-0.470932,2.814855,0.426447,1.333029,-0.038350,-0.037379,-0.472223,2.790381,0.422487,1.296014,-0.035442,-0.037400,-0.472200,2.790400,0.422500,1.296000,-0.035400,,,,,,,0
