step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,0.0,0.0,0.0,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,1
1,0.05,0.05,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
2,0.1,0.1,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
3,0.15,0.15,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
4,0.2,0.2,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
5,0.25,0.25,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
6,0.3,0.3,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
7,0.35,0.35,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
8,0.4,0.4,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
9,0.45,0.45,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
10,0.5,0.5,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
11,0.55,0.55,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
12,0.6,0.6,0.05,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.018408,,,,,,,0
13,0.65,0.65,0.05,-0.036816,-0.227029,3.19835,-0.702563,0.118117,-0.018408,-0.036816,-0.227029,3.19835,-0.702563,0.118117,-0.018408,-0.036816,-0.227029,3.19835,-0.702563,0.118117,-0.018408,,,,,,,0
14,0.7,0.7,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
15,0.75,0.75,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
16,0.8,0.8,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,,,,,,,0
17,0.85,0.85,0.05,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.024544,,,,,,,0
18,0.9,0.9,0.05,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.024544,,,,,,,0
19,0.95,0.95,0.05,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,,,,,,,0
20,1.0,1.0,0.05,-0.036816,-0.223961,3.192214,-0.702563,0.116583,-0.018408,-0.036816,-0.223961,3.192214,-0.702563,0.116583,-0.018408,-0.036816,-0.223961,3.192214,-0.702563,0.116583,-0.018408,,,,,,,0
21,1.05,1.05,0.05,-0.036816,-0.223961,3.19068,-0.702563,0.11965,-0.027612,-0.036816,-0.223961,3.19068,-0.702563,0.11965,-0.027612,-0.036816,-0.223961,3.19068,-0.702563,0.11965,-0.027612,,,,,,,0
22,1.1,1.1,0.05,-0.036816,-0.223961,3.19068,-0.702563,0.11965,-0.029146,-0.036816,-0.223961,3.19068,-0.702563,0.11965,-0.029146,-0.036816,-0.223961,3.19068,-0.702563,0.11965,-0.029146,,,,,,,0
23,1.15,1.15,0.05,-0.036816,-0.223961,3.192214,-0.702563,0.11965,-0.029146,-0.036816,-0.223961,3.192214,-0.702563,0.11965,-0.029146,-0.036816,-0.223961,3.192214,-0.702563,0.11965,-0.029146,,,,,,,0
24,1.2,1.2,0.05,-0.036816,-0.223961,3.19835,-0.702563,0.118117,-0.029146,-0.036816,-0.223961,3.19835,-0.702563,0.118117,-0.029146,-0.036816,-0.223961,3.19835,-0.702563,0.118117,-0.029146,,,,,,,0
25,1.25,1.25,0.05,-0.036816,-0.225495,3.19835,-0.702563,0.118117,-0.029146,-0.036816,-0.225495,3.19835,-0.702563,0.118117,-0.029146,-0.036816,-0.225495,3.19835,-0.702563,0.118117,-0.029146,,,,,,,0
