step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,0.0,0.0,0.0,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,,,,,,,1
1,0.05,0.05,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.028668,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.028668,,,,,,,0
2,0.1,0.1,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,,,,,,,0
3,0.15,0.15,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.028668,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.028668,,,,,,,0
4,0.2,0.2,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,,,,,,,0
5,0.25,0.25,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.028668,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.028668,,,,,,,0
6,0.3,0.3,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,,,,,,,0
7,0.35,0.35,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.027134,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.027134,,,,,,,0
8,0.4,0.4,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,,,,,,,0
9,0.45,0.45,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.027134,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.027134,,,,,,,0
10,0.5,0.5,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,,,,,,,0
11,0.55,0.55,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.027134,-0.045542,-0.235756,3.191157,-0.71129,0.106322,-0.027134,,,,,,,0
12,0.6,0.6,0.05,-0.036816,-0.227029,3.19835,-0.702563,0.116583,-0.018408,-0.028089,-0.218303,3.207077,-0.693837,0.125309,-0.009681,-0.028089,-0.218303,3.207077,-0.693837,0.125309,-0.009681,,,,,,,0
