step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,0.0,0.0,0.0,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.049871,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.049871,,,,,,,1
1,0.05,0.05,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,,,,,,,0
2,0.1,0.1,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.049871,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.049871,,,,,,,0
3,0.15,0.15,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,,,,,,,0
4,0.2,0.2,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.049871,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.049871,,,,,,,0
5,0.25,0.25,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.089755,,,,,,,0
6,0.3,0.3,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.051405,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.051405,,,,,,,0
7,0.35,0.35,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,,,,,,,0
8,0.4,0.4,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.051405,0.032998,-0.157216,3.269697,-0.63275,0.184862,0.051405,,,,,,,0
9,0.45,0.45,0.05,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,-0.106629,-0.296842,3.130071,-0.772376,0.045235,-0.088221,,,,,,,0
