phase,t,q_base,q_shoulder,q_elbow,q_wrist,q_roll,q_gripper,tau_base,tau_shoulder,tau_elbow,tau_wrist,tau_roll,tau_gripper
ramp,6.810005288571119e-07,-0.107378655,0.332873831,0.092038847,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,96.0,24.0,0.0,nan
ramp,0.02505776199996035,-0.107378655,0.332873831,0.092038847,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,96.0,24.0,0.0,nan
ramp,0.0476178560002154,-0.107378655,0.332873831,0.092038847,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,52.0,24.0,0.0,nan
ramp,0.0807395150004595,-0.107378655,0.332873831,0.092038847,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-60.0,24.0,0.0,nan
ramp,0.11942143100077374,-0.107378655,0.332873831,0.101242732,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-132.0,24.0,0.0,nan
ramp,0.145446694000384,-0.107378655,0.33133985,0.124252444,0.345145677,0.021475731,-0.013805827410207083,0.0,76.0,-176.0,24.0,0.0,nan
ramp,0.18400701500013383,-0.107378655,0.33133985,0.168737887,0.345145677,0.021475731,-0.013805827410207083,0.0,80.0,-236.0,24.0,0.0,nan
ramp,0.22494991200073855,-0.107378655,0.33133985,0.21475731,0.345145677,0.021475731,-0.013805827410207083,0.0,80.0,-284.0,24.0,0.0,nan
ramp,0.26355340300051466,-0.107378655,0.33133985,0.29145635,0.345145677,0.021475731,-0.013805827410207083,0.0,80.0,-344.0,24.0,0.0,nan
ramp,0.3049398970006223,-0.107378655,0.33133985,0.362019466,0.345145677,0.021475731,-0.013805827410207083,0.0,80.0,-372.0,24.0,0.0,nan
ramp,0.3435553110002729,-0.107378655,0.33133985,0.463262198,0.345145677,0.021475731,-0.013805827410207083,0.0,80.0,-436.0,24.0,0.0,nan
ramp,0.38499728800070443,-0.107378655,0.33133985,0.553767064,0.345145677,0.021475731,-0.013805827410207083,0.0,80.0,-476.0,24.0,0.0,nan
ramp,0.423528336000345,-0.107378655,0.33133985,0.685689412,0.345145677,0.021475731,-0.013805827410207083,0.0,80.0,-552.0,24.0,0.0,nan
ramp,0.46495587500066904,-0.107378655,0.33133985,0.794602048,0.345145677,0.021475731,-0.013805827410207083,0.0,80.0,-600.0,24.0,0.0,nan
ramp,0.5035097050003969,-0.107378655,0.332873831,0.951068088,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-668.0,24.0,0.0,nan
ramp,0.5450407360003737,-0.107378655,0.332873831,1.086058398,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-688.0,24.0,0.0,nan
ramp,0.5835770640005649,-0.107378655,0.332873831,1.276272016,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-748.0,24.0,0.0,nan
ramp,0.625094710000667,-0.107378655,0.332873831,1.429670094,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-796.0,24.0,0.0,nan
ramp,0.6637100130001272,-0.107378655,0.332873831,1.633689539,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-768.0,24.0,0.0,nan
ramp,0.7049457299999631,-0.107378655,0.332873831,1.799359464,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-656.0,24.0,0.0,nan
ramp,0.7435715020001226,-0.107378655,0.332873831,1.980369197,0.345145677,0.021475731,-0.013805827410207083,0.0,88.0,-620.0,24.0,0.0,nan
ramp,0.7848514910001541,-0.107378655,0.332873831,2.109223583,0.343611696,0.021475731,-0.013805827410207083,0.0,88.0,-596.0,-20.0,0.0,nan
ramp,0.8234175830002641,-0.107378655,0.332873831,2.265689624,0.343611696,0.021475731,-0.013805827410207083,0.0,88.0,-548.0,0.0,0.0,nan
