phase,t,q_base,q_shoulder,q_elbow,q_wrist,q_roll,q_gripper,tau_base,tau_shoulder,tau_elbow,tau_wrist,tau_roll,tau_gripper
ramp,4.3000000005122274e-07,-1.701184694,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,-32.0,72.0,40.0,0.0,0.0,nan
ramp,0.037909784000476066,-1.701184694,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,28.0,72.0,40.0,0.0,0.0,nan
ramp,0.07652662500004226,-1.701184694,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,136.0,72.0,40.0,0.0,0.0,nan
ramp,0.11091407500043715,-1.69351479,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,200.0,72.0,40.0,0.0,0.0,nan
ramp,0.13643929600038973,-1.670505078,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,240.0,72.0,40.0,0.0,0.0,nan
ramp,0.17501744600031088,-1.624485654,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,292.0,72.0,40.0,0.0,0.0,nan
ramp,0.21592405600040365,-1.57693225,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,336.0,72.0,40.0,0.0,0.0,nan
ramp,0.2544570219997695,-1.506369134,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,408.0,72.0,40.0,0.0,0.0,nan
ramp,0.29592679100005626,-1.441941941,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,476.0,72.0,40.0,0.0,0.0,nan
ramp,0.3345004519997019,-1.339165228,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,524.0,72.0,40.0,0.0,0.0,nan
ramp,0.3759638500005167,-1.250194342,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,576.0,72.0,40.0,0.0,0.0,nan
ramp,0.41449868000017887,-1.122873937,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,640.0,72.0,40.0,0.0,0.0,nan
ramp,0.4558306549997724,-1.013961301,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,696.0,72.0,40.0,0.0,0.0,nan
ramp,0.4944437089998246,-0.85596128,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,768.0,72.0,40.0,0.0,0.0,nan
ramp,0.5358248740003546,-0.725572913,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,820.0,72.0,28.0,0.0,0.0,nan
ramp,0.5743639210004403,-0.543029199,0.280718484,2.021786678,0.334407812,0.027611654,-0.01994175041020707,888.0,72.0,32.0,0.0,0.0,nan
ramp,0.6156991329999073,-0.391165101,0.280718484,2.021786678,0.332873831,0.027611654,-0.01994175041020707,944.0,72.0,32.0,0.0,0.0,nan
ramp,0.6542382600000565,-0.176407791,0.280718484,2.021786678,0.328271889,0.027611654,-0.01994175041020707,988.0,72.0,32.0,-48.0,0.0,nan
ramp,0.695883113000491,-0.006135923,0.280718484,2.020252698,0.328271889,0.027611654,-0.01994175041020707,924.0,72.0,20.0,-40.0,0.0,nan
ramp,0.7319052720004038,0.122718463,0.280718484,2.020252698,0.328271889,0.027611654,-0.01994175041020707,864.0,72.0,24.0,-40.0,0.0,nan
ramp,0.7583308370003579,0.285320427,0.280718484,2.020252698,0.328271889,0.027611654,-0.01994175041020707,768.0,72.0,24.0,-40.0,0.0,nan
ramp,0.7968996489998972,0.474000063,0.280718484,2.020252698,0.33133985,0.027611654,-0.01994175041020707,724.0,72.0,24.0,-20.0,0.0,nan
ramp,0.8379235649999828,0.60438843,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,692.0,72.0,32.0,0.0,0.0,nan
ramp,0.8765620860003764,0.725572913,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,660.0,72.0,32.0,0.0,0.0,nan
ramp,0.9096195789998092,0.816077779,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,632.0,72.0,32.0,0.0,0.0,nan
ramp,0.9353363150003133,0.924990415,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,568.0,72.0,32.0,0.0,0.0,nan
ramp,0.9738730779999969,1.05077684,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,496.0,72.0,32.0,0.0,0.0,nan
ramp,1.014870074999635,1.136679764,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,444.0,72.0,32.0,0.0,0.0,nan
ramp,1.0477776819998326,1.175029284,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,420.0,72.0,32.0,0.0,0.0,nan
ramp,1.0699066819997824,1.264000169,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,368.0,72.0,32.0,0.0,0.0,nan
ramp,1.1120380539996404,1.325359401,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,304.0,72.0,32.0,0.0,0.0,nan
ramp,1.1505895440004679,1.389786594,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,244.0,72.0,32.0,0.0,0.0,nan
ramp,1.1920151120002629,1.428136114,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,188.0,72.0,32.0,0.0,0.0,nan
ramp,1.2251305930003582,1.443475921,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,160.0,72.0,32.0,0.0,0.0,nan
ramp,1.2473162670003148,1.474155537,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,92.0,72.0,32.0,0.0,0.0,nan
ramp,1.2892964200000279,1.486427383,0.280718484,2.021786678,0.335941793,0.027611654,-0.01994175041020707,32.0,72.0,32.0,0.0,0.0,nan
ramp,1.322394568999698,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.3608334709997507,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.38727381300032,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.425871528999778,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.466920251999909,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.5054360760004784,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.5468872820001707,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.5854763520001143,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.6189451250002094,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.6444028719997732,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.6830173079997621,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.7237849419998383,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.7623374340000737,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.795868832999986,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.8213246269997398,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.8598896920002517,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.900883834000524,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.93943121600023,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.9729150670000308,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
ramp,1.9983830840001247,1.487961364,0.280718484,2.021786678,0.337475773,0.027611654,-0.01994175041020707,40.0,72.0,32.0,24.0,0.0,nan
step,2.099995981552638e-07,-0.107378655,0.269980619,2.017184736,0.335941793,0.027611654,-0.01994175041020707,-48.0,192.0,112.0,40.0,0.0,nan
step,0.033610112000133086,-0.107378655,0.269980619,2.017184736,0.335941793,0.027611654,-0.01994175041020707,28.0,148.0,64.0,-24.0,0.0,nan
step,0.07216209000034723,-0.107378655,0.269980619,2.017184736,0.335941793,0.027611654,-0.01994175041020707,156.0,28.0,-32.0,0.0,0.0,nan
step,0.11396008300016547,-0.093572828,0.27304858,2.021786678,0.335941793,0.027611654,-0.01994175041020707,224.0,28.0,36.0,0.0,0.0,nan
step,0.1525099680002313,-0.056757289,0.280718484,2.023320659,0.335941793,0.027611654,-0.01994175041020707,264.0,84.0,40.0,0.0,0.0,nan
step,0.1939994909998859,-0.018407769,0.282252465,2.023320659,0.335941793,0.027611654,-0.01994175041020707,184.0,84.0,40.0,0.0,0.0,nan
