phase,t,q_base,q_shoulder,q_elbow,q_wrist,q_roll,q_gripper,tau_base,tau_shoulder,tau_elbow,tau_wrist,tau_roll,tau_gripper
ramp,7.920007192296907e-07,-0.093572828,0.34974762,0.454058313,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,120.0,24.0,24.0,nan
ramp,0.02064917100051389,-0.093572828,0.34974762,0.454058313,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,120.0,24.0,24.0,nan
ramp,0.05040318999999727,-0.093572828,0.34974762,0.454058313,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,76.0,24.0,24.0,nan
ramp,0.08895809500063478,-0.093572828,0.34974762,0.455592294,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-68.0,24.0,24.0,nan
ramp,0.13050211100016895,-0.093572828,0.34974762,0.472466083,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-128.0,24.0,24.0,nan
ramp,0.16902550800023164,-0.093572828,0.34974762,0.510815602,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-200.0,24.0,24.0,nan
ramp,0.2103581020001002,-0.093572828,0.34974762,0.552233084,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-248.0,24.0,24.0,nan
ramp,0.24892043100044248,-0.093572828,0.34974762,0.621262219,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-308.0,24.0,24.0,nan
ramp,0.2904902240006777,-0.093572828,0.34974762,0.690291355,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-316.0,24.0,24.0,nan
ramp,0.32901999300065654,-0.093572828,0.34974762,0.77926224,0.343611696,0.030679616,-0.021475731410206755,0.0,88.0,-428.0,32.0,24.0,nan
ramp,0.37037719400086644,-0.093572828,0.34974762,0.865165164,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-460.0,24.0,24.0,nan
ramp,0.40896985800009134,-0.093572828,0.34974762,0.99248557,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-516.0,24.0,24.0,nan
ramp,0.4504026390004583,-0.093572828,0.34974762,1.096796263,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-576.0,24.0,24.0,nan
ramp,0.48895813600029214,-0.093572828,0.34974762,1.248660361,0.342077716,0.030679616,-0.021475731410206755,0.0,88.0,-632.0,24.0,24.0,nan
ramp,0.5303839340003833,-0.093572828,0.3512816,1.38211669,0.342077716,0.030679616,-0.021475731410206755,0.0,96.0,-668.0,24.0,24.0,nan
ramp,0.568964075000622,-0.093572828,0.3512816,1.560058461,0.342077716,0.030679616,-0.021475731410206755,0.0,96.0,-736.0,24.0,24.0,nan
ramp,0.6104142190006314,-0.093572828,0.3512816,1.707320617,0.342077716,0.030679616,-0.021475731410206755,0.0,96.0,-740.0,24.0,24.0,nan
ramp,0.6489271970003756,-0.093572828,0.3512816,1.903670158,0.342077716,0.030679616,-0.021475731410206755,0.0,96.0,-660.0,24.0,24.0,nan
ramp,0.690408887000558,-0.093572828,0.3512816,2.041728429,0.342077716,0.030679616,-0.021475731410206755,0.0,96.0,-612.0,24.0,24.0,nan
ramp,0.7289202530000694,-0.093572828,0.3512816,2.202796411,0.342077716,0.030679616,-0.021475731410206755,0.0,96.0,-556.0,24.0,24.0,nan
ramp,0.7705388960002892,-0.093572828,0.34974762,2.31631099,0.342077716,0.030679616,-0.021475731410206755,0.0,84.0,-532.0,24.0,24.0,nan
ramp,0.8090839720007352,-0.093572828,0.34974762,2.45283528,0.335941793,0.030679616,-0.021475731410206755,0.0,88.0,-480.0,-20.0,24.0,nan
ramp,0.8503724170004716,-0.093572828,0.34974762,2.523398396,0.328271889,0.029145635,-0.021475731410206755,0.0,88.0,-556.0,-80.0,32.0,nan
ramp,0.888925448000009,-0.093572828,0.345145677,2.597029474,0.322135965,0.029145635,-0.0230097114102068,0.0,60.0,-720.0,-104.0,32.0,nan
ramp,0.9305106190004153,-0.093572828,0.345145677,2.630777051,0.319068004,0.029145635,-0.016873788410206814,0.0,64.0,-888.0,-116.0,32.0,nan
ramp,0.967021849000048,-0.093572828,0.345145677,2.64765084,0.316000042,0.029145635,-0.0230097114102068,0.0,64.0,-1000.0,-132.0,32.0,nan
ramp,0.992915778000679,-0.095106809,0.343611696,2.650718801,0.316000042,0.029145635,-0.0230097114102068,28.0,56.0,-1000.0,-128.0,32.0,nan
