phase,t,q_base,q_shoulder,q_elbow,q_wrist,q_roll,q_gripper,tau_base,tau_shoulder,tau_elbow,tau_wrist,tau_roll,tau_gripper
ramp,5.909996616537683e-07,-0.095106809,0.374291312,2.072408044,0.360485485,-1.563126423,-0.0230097114102068,0.0,80.0,0.0,0.0,0.0,nan
ramp,0.038056681999478315,-0.095106809,0.374291312,2.072408044,0.360485485,-1.563126423,-0.0230097114102068,0.0,80.0,0.0,0.0,48.0,nan
ramp,0.07666999299999588,-0.095106809,0.374291312,2.072408044,0.360485485,-1.5569905,-0.0230097114102068,0.0,80.0,0.0,0.0,160.0,nan
ramp,0.11797535699952277,-0.095106809,0.374291312,2.072408044,0.360485485,-1.532446807,-0.0230097114102068,0.0,80.0,0.0,0.0,168.0,nan
ramp,0.15649663699969096,-0.095106809,0.374291312,2.072408044,0.360485485,-1.492563307,-0.0230097114102068,0.0,80.0,0.0,0.0,236.0,nan
ramp,0.19784686399998463,-0.095106809,0.374291312,2.072408044,0.360485485,-1.452679806,-0.0230097114102068,0.0,80.0,0.0,0.0,296.0,nan
ramp,0.23640106499988178,-0.095106809,0.374291312,2.072408044,0.360485485,-1.383650671,-0.0230097114102068,0.0,80.0,0.0,0.0,360.0,nan
ramp,0.2779149239995604,-0.095106809,0.374291312,2.072408044,0.360485485,-1.320757458,-0.0230097114102068,0.0,80.0,0.0,0.0,408.0,nan
ramp,0.316446922999603,-0.095106809,0.374291312,2.072408044,0.360485485,-1.224116669,-0.0230097114102068,0.0,80.0,0.0,0.0,460.0,nan
ramp,0.3578916839996964,-0.095106809,0.374291312,2.072408044,0.360485485,-1.141281706,-0.0230097114102068,0.0,80.0,0.0,0.0,532.0,nan
ramp,0.39643873299974075,-0.095106809,0.374291312,2.072408044,0.360485485,-1.015495282,-0.0230097114102068,0.0,80.0,0.0,0.0,588.0,nan
ramp,0.43790662699939276,-0.095106809,0.374291312,2.072408044,0.360485485,-0.908116626,-0.0230097114102068,0.0,80.0,0.0,0.0,624.0,nan
ramp,0.47654006399989157,-0.095106809,0.374291312,2.072408044,0.360485485,-0.756252528,-0.0230097114102068,0.0,80.0,0.0,0.0,696.0,nan
ramp,0.5180012049995639,-0.095106809,0.374291312,2.072408044,0.360485485,-0.628932123,-0.0230097114102068,0.0,80.0,0.0,0.0,740.0,nan
ramp,0.556538726999861,-0.095106809,0.374291312,2.072408044,0.360485485,-0.446388409,-0.0230097114102068,0.0,80.0,0.0,0.0,804.0,nan
ramp,0.5979970109992792,-0.095106809,0.374291312,2.072408044,0.360485485,-0.303728196,-0.0230097114102068,0.0,80.0,0.0,0.0,876.0,nan
ramp,0.6365622229996006,-0.095106809,0.374291312,2.072408044,0.360485485,-0.093572828,-0.0230097114102068,0.0,80.0,0.0,0.0,936.0,nan
ramp,0.6780250679994424,-0.095106809,0.374291312,2.072408044,0.360485485,0.073631078,-0.0230097114102068,0.0,80.0,0.0,0.0,912.0,nan
ramp,0.7165507569998226,-0.095106809,0.374291312,2.072408044,0.360485485,0.285320427,-0.0230097114102068,0.0,80.0,0.0,0.0,844.0,nan
ramp,0.757998963999853,-0.095106809,0.374291312,2.072408044,0.360485485,0.440252486,-0.0230097114102068,0.0,80.0,0.0,0.0,784.0,nan
ramp,0.7965323259995785,-0.095106809,0.374291312,2.072408044,0.360485485,0.627398142,-0.0230097114102068,0.0,80.0,0.0,0.0,724.0,nan
ramp,0.8378807799999777,-0.095106809,0.374291312,2.072408044,0.360485485,0.760854471,-0.0230097114102068,0.0,80.0,0.0,0.0,672.0,nan
ramp,0.8764572629997929,-0.095106809,0.374291312,2.072408044,0.360485485,0.917320511,-0.0230097114102068,0.0,80.0,0.0,0.0,612.0,nan
ramp,0.9180266929997742,-0.095106809,0.374291312,2.072408044,0.360485485,1.029301109,-0.0230097114102068,0.0,80.0,0.0,0.0,548.0,nan
ramp,0.9566104400000768,-0.095106809,0.374291312,2.072408044,0.360485485,1.158155495,-0.018407769410206942,0.0,80.0,0.0,0.0,508.0,nan
ramp,0.9980686769995373,-0.095106809,0.374291312,2.072408044,0.360485485,1.247126381,-0.018407769410206942,0.0,80.0,0.0,0.0,460.0,nan
ramp,1.036607869999898,-0.095106809,0.374291312,2.072408044,0.360485485,1.349903093,-0.016873788410206814,0.0,80.0,0.0,0.0,372.0,nan
ramp,1.0778810349993364,-0.095106809,0.374291312,2.072408044,0.360485485,1.415864267,-0.016873788410206814,0.0,80.0,0.0,0.0,336.0,nan
ramp,1.1164273119993595,-0.095106809,0.374291312,2.072408044,0.360485485,1.491029326,-0.016873788410206814,0.0,80.0,0.0,0.0,272.0,nan
ramp,1.1580499209994741,-0.095106809,0.374291312,2.072408044,0.360485485,1.537048749,-0.016873788410206814,0.0,80.0,0.0,0.0,228.0,nan
ramp,1.1966176579999228,-0.095106809,0.374291312,2.072408044,0.360485485,1.581534192,-0.016873788410206814,0.0,80.0,0.0,0.0,160.0,nan
ramp,1.2380131780000738,-0.095106809,0.374291312,2.072408044,0.360485485,1.606077885,-0.016873788410206814,0.0,80.0,0.0,0.0,112.0,nan
ramp,1.2765679309995903,-0.095106809,0.374291312,2.072408044,0.360485485,1.622951674,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.3178648690000045,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,44.0,nan
ramp,1.3564206139999442,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.389972473999478,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.4154798740000842,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.4540001529994697,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.4947810879993995,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.5333177869997598,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.56685380899944,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.5924229329993977,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.630957868999758,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.6719915119992947,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.710574125999301,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.7518186479992437,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.7904158589999497,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.823940840999967,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.849425207999957,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.8879855609993683,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.9290053469994746,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
ramp,1.9676271640000778,-0.095106809,0.374291312,2.072408044,0.360485485,1.626019635,-0.016873788410206814,0.0,80.0,0.0,0.0,48.0,nan
step,3.409995770198293e-07,-0.095106809,0.362019466,2.072408044,0.354349562,0.032213597,-0.0230097114102068,0.0,88.0,32.0,56.0,0.0,nan
step,0.02509180099968944,-0.095106809,0.362019466,2.072408044,0.348213639,0.032213597,-0.0230097114102068,0.0,76.0,24.0,-20.0,0.0,nan
step,0.06372176799959561,-0.095106809,0.362019466,2.072408044,0.348213639,0.032213597,-0.0230097114102068,0.0,20.0,0.0,-56.0,-92.0,nan
step,0.0982935809997798,-0.095106809,0.366621408,2.072408044,0.352815581,0.023009712,-0.0230097114102068,0.0,40.0,0.0,-52.0,-132.0,nan
step,0.12353016899942304,-0.095106809,0.372757331,2.072408044,0.357417524,0.003067962,-0.0230097114102068,0.0,88.0,0.0,-32.0,-184.0,nan
step,0.15957062500001484,-0.095106809,0.374291312,2.072408044,0.358951504,-0.01994175,-0.0230097114102068,0.0,84.0,0.0,-20.0,-212.0,nan
step,0.18663115199979075,-0.095106809,0.374291312,2.072408044,0.360485485,-0.052155347,-0.0230097114102068,0.0,80.0,0.0,0.0,-180.0,nan
step,0.2227321700001994,-0.095106809,0.374291312,2.072408044,0.360485485,-0.076699039,-0.0230097114102068,0.0,80.0,0.0,0.0,-132.0,nan
step,0.2495910540001205,-0.095106809,0.372757331,2.072408044,0.360485485,-0.09817477,-0.0230097114102068,0.0,72.0,0.0,0.0,-80.0,nan
step,0.2881413559998691,-0.095106809,0.374291312,2.072408044,0.360485485,-0.110446617,-0.0230097114102068,0.0,80.0,0.0,0.0,-24.0,nan
step,0.33012199499989947,-0.095106809,0.374291312,2.072408044,0.360485485,-0.111980598,-0.0230097114102068,0.0,80.0,0.0,0.0,-32.0,nan
step,0.368689226999777,-0.095106809,0.374291312,2.072408044,0.360485485,-0.111980598,-0.0230097114102068,0.0,80.0,0.0,0.0,-32.0,nan
step,0.4100953639999716,-0.095106809,0.372757331,2.072408044,0.360485485,-0.111980598,-0.0230097114102068,0.0,72.0,0.0,0.0,-32.0,nan
step,0.4486510149999958,-0.095106809,0.374291312,2.072408044,0.360485485,-0.111980598,-0.0230097114102068,0.0,84.0,0.0,0.0,-32.0,nan
