phase,t,q_base,q_shoulder,q_elbow,q_wrist,q_roll,q_gripper,tau_base,tau_shoulder,tau_elbow,tau_wrist,tau_roll,tau_gripper
ramp,5.609999789157882e-07,-0.099708751,-1.299281727,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,120.0,40.0,24.0,0.0,nan
ramp,0.026770635000502807,-0.099708751,-1.299281727,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,112.0,40.0,24.0,0.0,nan
ramp,0.059855643000446435,-0.099708751,-1.299281727,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-28.0,40.0,24.0,0.0,nan
ramp,0.106638182000097,-0.099708751,-1.291611823,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-104.0,40.0,24.0,0.0,nan
ramp,0.1429865170002813,-0.099708751,-1.277805996,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-168.0,40.0,24.0,0.0,nan
ramp,0.1690784390002591,-0.099708751,-1.248660361,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-224.0,40.0,24.0,0.0,nan
ramp,0.20543672399981006,-0.099708751,-1.216446765,2.026388621,0.339009754,0.027611654,-0.01994175041020707,32.0,-260.0,32.0,24.0,0.0,nan
ramp,0.23213032700004987,-0.099708751,-1.16735938,2.026388621,0.339009754,0.027611654,-0.01994175041020707,32.0,-312.0,32.0,24.0,0.0,nan
ramp,0.26839669099990715,-0.099708751,-1.119805975,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-352.0,44.0,24.0,0.0,nan
ramp,0.29502017499999056,-0.099708751,-1.055378782,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-388.0,40.0,24.0,0.0,nan
ramp,0.33148789100050635,-0.099708751,-0.995553531,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-436.0,40.0,24.0,0.0,nan
ramp,0.35811363799984974,-0.099708751,-0.912718569,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-488.0,40.0,24.0,0.0,nan
ramp,0.3944036370003232,-0.099708751,-0.839087491,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-528.0,40.0,24.0,0.0,nan
ramp,0.42111975199986773,-0.099708751,-0.737844759,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-564.0,40.0,24.0,0.0,nan
ramp,0.45717140899978403,-0.099708751,-0.648873873,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-608.0,40.0,24.0,0.0,nan
ramp,0.48405814899979305,-0.099708751,-0.530757353,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-636.0,40.0,24.0,0.0,nan
ramp,0.5201184030001968,-0.099708751,-0.429514621,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-688.0,40.0,24.0,0.0,nan
ramp,0.5474252490002982,-0.099708751,-0.294524311,2.027922602,0.339009754,0.027611654,-0.01994175041020707,32.0,-728.0,40.0,24.0,0.0,nan
ramp,0.5830746629999339,-0.099708751,-0.17487381,2.026388621,0.339009754,0.027611654,-0.01994175041020707,32.0,-760.0,28.0,24.0,0.0,nan
ramp,0.6100223550001829,-0.099708751,-0.021475731,2.026388621,0.337475773,0.027611654,-0.01994175041020707,32.0,-784.0,32.0,0.0,0.0,nan
ramp,0.6459248880000814,-0.099708751,0.105844674,2.02485464,0.337475773,0.027611654,-0.01994175041020707,32.0,-788.0,20.0,0.0,0.0,nan
ramp,0.67305001800014,-0.099708751,0.271514599,2.02485464,0.329805869,0.027611654,-0.01994175041020707,32.0,-696.0,24.0,-52.0,0.0,nan
ramp,0.7116251870002088,-0.099708751,0.457126275,1.998776967,0.340543735,0.026077673,-0.03374757741020673,32.0,-700.0,-180.0,52.0,24.0,nan
ramp,0.7526571230000627,-0.095106809,0.556835026,1.998776967,0.328271889,0.026077673,-0.03374757741020673,-24.0,-916.0,-132.0,-64.0,24.0,nan
ramp,0.789813071000026,-0.093572828,0.625864161,1.998776967,0.337475773,0.024543693,-0.03374757741020673,0.0,-1000.0,-128.0,28.0,32.0,nan
ramp,0.8152051309998569,-0.090504866,0.722504951,1.989573082,0.345145677,0.018407769,-0.038349519410207034,-40.0,-1000.0,-204.0,76.0,68.0,nan
ramp,0.852101739000318,-0.09664079,0.786932144,1.994175024,0.326737908,0.030679616,-0.042951462410206975,28.0,-1000.0,-144.0,-76.0,-36.0,nan
ramp,0.8770757570000569,-0.09817477,0.822213702,1.983437159,0.342077716,0.029145635,-0.042951462410206975,28.0,-1000.0,-228.0,68.0,0.0,nan
ramp,0.9136597380002058,-0.09817477,0.823747683,1.98497114,0.337475773,0.030679616,-0.042951462410206975,24.0,-1000.0,-204.0,0.0,0.0,nan
ramp,0.9400890030001392,-0.09817477,0.823747683,1.983437159,0.340543735,0.030679616,-0.042951462410206975,24.0,-1000.0,-212.0,40.0,0.0,nan
ramp,0.976400540999748,-0.09817477,0.823747683,1.983437159,0.340543735,0.030679616,-0.042951462410206975,24.0,-1000.0,-208.0,32.0,0.0,nan
ramp,1.00306692400045,-0.09817477,0.823747683,1.983437159,0.340543735,0.030679616,-0.042951462410206975,24.0,-1000.0,-208.0,32.0,0.0,nan
ramp,1.0393882420003138,-0.09817477,0.823747683,1.983437159,0.340543735,0.030679616,-0.042951462410206975,24.0,-1000.0,-208.0,32.0,0.0,nan
ramp,1.0661386789997778,-0.09817477,0.823747683,1.983437159,0.340543735,0.030679616,-0.042951462410206975,24.0,-1000.0,-208.0,32.0,0.0,nan
ramp,1.1024290080003993,-0.09817477,0.823747683,1.983437159,0.340543735,0.030679616,-0.042951462410206975,24.0,-1000.0,-208.0,32.0,0.0,nan
ramp,1.129001727999821,-0.09817477,0.823747683,1.983437159,0.340543735,0.030679616,-0.042951462410206975,24.0,-1000.0,-208.0,32.0,0.0,nan
ramp,1.165439649000291,-0.09817477,0.823747683,1.983437159,0.340543735,0.030679616,-0.042951462410206975,24.0,-1000.0,-208.0,32.0,0.0,nan
