phase,t,q_base,q_shoulder,q_elbow,q_wrist,q_roll,q_gripper,tau_base,tau_shoulder,tau_elbow,tau_wrist,tau_roll,tau_gripper
ramp,5.510000846697949e-07,-0.107378655,0.269980619,1.445009902,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,112.0,24.0,0.0,nan
ramp,0.03671997800029203,-0.107378655,0.269980619,1.445009902,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,68.0,24.0,0.0,nan
ramp,0.07534787400072673,-0.107378655,0.269980619,1.446543883,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,-32.0,24.0,0.0,nan
ramp,0.10882753199985018,-0.107378655,0.269980619,1.454213787,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,-116.0,24.0,0.0,nan
ramp,0.13450197700058197,-0.107378655,0.269980619,1.477223499,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,-160.0,24.0,0.0,nan
ramp,0.17314548100057436,-0.107378655,0.269980619,1.523242922,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,-216.0,24.0,0.0,nan
ramp,0.21406469000066863,-0.107378655,0.269980619,1.569262346,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,-260.0,24.0,0.0,nan
ramp,0.2526471920000404,-0.107378655,0.269980619,1.644427405,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,-328.0,24.0,0.0,nan
ramp,0.29404544299995905,-0.107378655,0.269980619,1.710388578,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,-388.0,24.0,0.0,nan
ramp,0.33268167300047935,-0.107378655,0.269980619,1.813165291,0.332873831,0.021475731,-0.015339807410206685,0.0,64.0,-440.0,24.0,0.0,nan
ramp,0.3740389069998855,-0.107378655,0.269980619,1.900602196,0.328271889,0.021475731,-0.015339807410206685,0.0,64.0,-492.0,0.0,0.0,nan
ramp,0.4125843520005219,-0.107378655,0.269980619,2.029456582,0.33133985,0.021475731,-0.015339807410206685,0.0,64.0,-520.0,0.0,0.0,nan
ramp,0.45417163999991317,-0.107378655,0.269980619,2.132233295,0.33133985,0.021475731,-0.015339807410206685,0.0,64.0,-440.0,0.0,0.0,nan
ramp,0.4927863510001771,-0.107378655,0.269980619,2.247281854,0.33133985,0.021475731,-0.015339807410206685,0.0,64.0,-388.0,0.0,0.0,nan
ramp,0.5341138320000027,-0.107378655,0.269980619,2.328582836,0.33133985,0.021475731,-0.015339807410206685,0.0,64.0,-332.0,0.0,0.0,nan
ramp,0.5731996290005554,-0.107378655,0.269980619,2.416019741,0.33133985,0.021475731,-0.015339807410206685,0.0,64.0,-296.0,20.0,0.0,nan
ramp,0.6139725910006746,-0.107378655,0.269980619,2.474311011,0.328271889,0.021475731,-0.015339807410206685,0.0,64.0,-240.0,0.0,0.0,nan
ramp,0.6524983290000819,-0.107378655,0.269980619,2.534136262,0.326737908,0.021475731,-0.015339807410206685,0.0,64.0,-200.0,-20.0,0.0,nan
ramp,0.6941180580006403,-0.107378655,0.269980619,2.5709518,0.323669946,0.021475731,-0.015339807410206685,0.0,64.0,-148.0,-44.0,0.0,nan
ramp,0.7301292420006575,-0.107378655,0.269980619,2.592427532,0.323669946,0.021475731,-0.015339807410206685,0.0,64.0,-108.0,-40.0,0.0,nan
