step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787663183.9543,1787663183.9543,0.0,-0.016874,-0.214757,2.968253,-0.687223,0.121184,-0.016874,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,,,,,,,1
1,1787663184.0003,1787663184.0003,0.04601,-0.016874,-0.214757,2.968253,-0.687223,0.121184,-0.016874,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.028668,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.028668,,,,,,,0
2,1787663184.0563,1787663184.0563,0.05599,-0.016874,-0.214757,2.968253,-0.687223,0.121184,-0.016874,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,,,,,,,0
3,1787663184.1123,1787663184.1123,0.056,-0.018408,-0.214757,2.968253,-0.691825,0.121184,-0.021476,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.028668,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.028668,,,,,,,0
4,1787663184.1503,1787663184.1503,0.03801,-0.029146,-0.214757,2.968253,-0.702563,0.118117,-0.024544,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.011215,,,,,,,0
5,1787663184.2023,1787663184.2023,0.05199,-0.032214,-0.214757,2.968253,-0.704097,0.115049,-0.013806,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.028668,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.028668,,,,,,,0
6,1787663184.2583,1787663184.2583,0.056,-0.032214,-0.214757,2.968253,-0.697961,0.121184,-0.019942,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,,,,,,,0
7,1787663184.2973,1787663184.2973,0.039,-0.032214,-0.214757,2.968253,-0.696427,0.121184,-0.019942,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.027134,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.027134,,,,,,,0
8,1787663184.3543,1787663184.3543,0.057,-0.033748,-0.214757,2.968253,-0.702563,0.116583,-0.019942,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,,,,,,,0
9,1787663184.4093,1787663184.4093,0.055,-0.035282,-0.214757,2.968253,-0.705631,0.113515,-0.019942,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.027134,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.027134,,,,,,,0
10,1787663184.4493,1787663184.4493,0.04001,-0.035282,-0.214757,2.968253,-0.705631,0.113515,-0.023010,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,,,,,,,0
11,1787663184.5063,1787663184.5063,0.057,-0.033748,-0.214757,2.968253,-0.699495,0.118117,-0.012272,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.027134,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.027134,,,,,,,0
12,1787663184.5453,1787663184.5453,0.039,-0.033748,-0.214757,2.968253,-0.699495,0.119651,-0.018408,-0.028089,-0.218303,3.207077,-0.693837,0.125309,-0.009681,-0.028089,-0.218303,3.207077,-0.693837,0.125309,-0.009681,,,,,,,0
13,1787663184.6043,1787663184.6043,0.05901,-0.033748,-0.214757,2.968253,-0.699495,0.121184,-0.015340,-0.045542,-0.235756,3.189623,-0.711290,0.109390,-0.027134,-0.045542,-0.235756,3.189623,-0.711290,0.109390,-0.027134,,,,,,,0
14,1787663184.6713,1787663184.6713,0.06697,-0.033748,-0.214757,2.968253,-0.702563,0.118117,-0.015340,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,-0.028089,-0.218303,3.208611,-0.693837,0.123775,-0.009681,,,,,,,0
15,1787663184.7103,1787663184.7103,0.039,-0.033748,-0.214757,2.968253,-0.702563,0.118117,-0.013806,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.027134,-0.045542,-0.235756,3.191157,-0.711290,0.106322,-0.027134,,,,,,,0
16,1787663184.7443,1787663184.7443,0.034,-0.033748,-0.214757,2.968253,-0.702563,0.118117,-0.023010,-0.028089,-0.218303,3.208611,-0.693837,0.125309,-0.012749,-0.028089,-0.218303,3.208611,-0.693837,0.125309,-0.012749,,,,,,,0
17,1787663184.8073,1787663184.8073,0.06303,-0.033748,-0.214757,2.968253,-0.702563,0.118117,-0.016874,-0.045542,-0.235756,3.189623,-0.711290,0.107856,-0.033270,-0.045542,-0.235756,3.189623,-0.711290,0.107856,-0.033270,,,,,,,0
18,1787663184.8623,1787663184.8623,0.05498,-0.035282,-0.214757,2.968253,-0.702563,0.115049,-0.016874,-0.028089,-0.218303,3.207077,-0.693837,0.125309,-0.015817,-0.028089,-0.218303,3.207077,-0.693837,0.125309,-0.015817,,,,,,,0
19,1787663184.9023,1787663184.9023,0.04,-0.035282,-0.214757,2.968253,-0.701029,0.115049,-0.021476,-0.045542,-0.235756,3.188089,-0.711290,0.107856,-0.027134,-0.045542,-0.235756,3.188089,-0.711290,0.107856,-0.027134,,,,,,,0
20,1787663184.9593,1787663184.9593,0.057,-0.033748,-0.214757,2.968253,-0.697961,0.119651,-0.030680,-0.028089,-0.215235,3.200941,-0.693837,0.125309,-0.009681,-0.028089,-0.215235,3.200941,-0.693837,0.125309,-0.009681,,,,,,,0
21,1787663184.9983,1787663184.9983,0.03899,-0.033748,-0.214757,2.968253,-0.697961,0.119651,-0.023010,-0.045542,-0.232688,3.181953,-0.711290,0.110924,-0.036338,-0.045542,-0.232688,3.181953,-0.711290,0.110924,-0.036338,,,,,,,0
22,1787663185.0553,1787663185.0553,0.05701,-0.033748,-0.214757,2.968253,-0.702563,0.121184,-0.021476,-0.028089,-0.215235,3.199407,-0.693837,0.128377,-0.020419,-0.028089,-0.215235,3.199407,-0.693837,0.128377,-0.020419,,,,,,,0
23,1787663185.1113,1787663185.1113,0.05599,-0.035282,-0.214757,2.968253,-0.705631,0.116583,-0.030680,-0.045542,-0.232688,3.183487,-0.711290,0.110924,-0.037872,-0.045542,-0.232688,3.183487,-0.711290,0.110924,-0.037872,,,,,,,0
24,1787663185.1493,1787663185.1493,0.038,-0.035282,-0.214757,2.968253,-0.705631,0.115049,-0.033748,-0.028089,-0.215235,3.207077,-0.693837,0.126843,-0.020419,-0.028089,-0.215235,3.207077,-0.693837,0.126843,-0.020419,,,,,,,0
25,1787663185.2063,1787663185.2063,0.05699,-0.033748,-0.213223,2.968253,-0.699495,0.121184,-0.026078,-0.045542,-0.234222,3.189623,-0.711290,0.109390,-0.037872,-0.045542,-0.234222,3.189623,-0.711290,0.109390,-0.037872,,,,,,,0
26,1787663185.2633,1787663185.2633,0.05701,-0.033748,-0.210155,2.968253,-0.699495,0.124252,-0.026078,-0.028089,-0.218303,3.200941,-0.693837,0.126843,-0.020419,-0.028089,-0.218303,3.200941,-0.693837,0.126843,-0.020419,,,,,,,0
27,1787663185.3023,1787663185.3023,0.03902,-0.033748,-0.210155,2.968253,-0.699495,0.125786,-0.024544,-0.045542,-0.237290,3.181953,-0.712824,0.109390,-0.037872,-0.045542,-0.237290,3.181953,-0.712824,0.109390,-0.037872,,,,,,,0
28,1787663185.3583,1787663185.3583,0.05598,-0.033748,-0.210155,2.968253,-0.702563,0.119651,-0.033748,-0.028089,-0.219836,3.193271,-0.701506,0.126843,-0.020419,-0.028089,-0.219836,3.193271,-0.701506,0.126843,-0.020419,,,,,,,0
29,1787663185.3973,1787663185.3973,0.039,-0.035282,-0.211689,2.968253,-0.704097,0.116583,-0.026078,-0.045542,-0.237290,3.158944,-0.718960,0.107856,-0.037872,-0.045542,-0.237290,3.158944,-0.718960,0.107856,-0.037872,,,,,,,0
30,1787663185.4543,1787663185.4543,0.05702,-0.035282,-0.211689,2.968253,-0.705631,0.116583,-0.032214,-0.028089,-0.219836,3.131912,-0.698438,0.125309,-0.018885,-0.028089,-0.219836,3.131912,-0.698438,0.125309,-0.018885,,,,,,,1
31,1787663185.4943,1787663185.4943,0.03999,-0.035282,-0.211689,2.968253,-0.705631,0.116583,-0.026078,-0.045542,-0.237290,3.076109,-0.712824,0.107856,-0.036338,-0.045542,-0.237290,3.076109,-0.712824,0.107856,-0.036338,,,,,,,0
32,1787663185.5543,1787663185.5543,0.06001,-0.033748,-0.211689,2.968253,-0.705631,0.119651,-0.032214,-0.028089,-0.219836,2.995387,-0.692303,0.123775,-0.018885,-0.028089,-0.219836,2.995387,-0.692303,0.123775,-0.018885,,,,,,,0
33,1787663185.6093,1787663185.6093,0.05499,-0.033748,-0.211689,2.968253,-0.707165,0.121184,-0.030680,-0.045542,-0.237290,2.876691,-0.699018,0.104788,-0.036338,-0.045542,-0.237290,2.876691,-0.699018,0.104788,-0.036338,,,,,,,0
34,1787663185.6483,1787663185.6483,0.039,-0.033748,-0.211689,2.968253,-0.707165,0.121184,-0.032214,-0.028089,-0.219836,2.788300,-0.634011,0.122241,-0.018885,-0.028089,-0.219836,2.788300,-0.634011,0.122241,-0.018885,,,,,,,0
35,1787663185.7043,1787663185.7043,0.056,-0.035282,-0.211689,2.968253,-0.699495,0.116583,-0.023010,-0.045542,-0.237290,2.712555,-0.603911,0.104788,-0.036338,-0.045542,-0.237290,2.712555,-0.603911,0.104788,-0.036338,,,,,,,0
36,1787663185.7423,1787663185.7423,0.03801,-0.035282,-0.211689,2.968253,-0.696427,0.115049,-0.027612,-0.028089,-0.219836,2.618028,-0.468341,0.122241,-0.018885,-0.028089,-0.219836,2.618028,-0.468341,0.122241,-0.018885,,,,,,,0
37,1787663185.7943,1787663185.7943,0.05198,-0.035282,-0.211689,2.942175,-0.681087,0.115049,-0.024544,-0.045542,-0.237290,2.533080,-0.409096,0.104788,-0.036338,-0.045542,-0.237290,2.533080,-0.409096,0.104788,-0.036338,,,,,,,0
38,1787663185.8613,1787663185.8613,0.067,-0.033748,-0.211689,2.873146,-0.630466,0.119651,-0.027612,-0.028089,-0.221370,2.432416,-0.239778,0.122241,-0.018885,-0.028089,-0.221370,2.432416,-0.239778,0.122241,-0.018885,,,,,,,0
39,1787663185.8983,1787663185.8983,0.03702,-0.033748,-0.211689,2.824059,-0.592117,0.121184,-0.024544,-0.045542,-0.238824,2.287643,-0.105367,0.104788,-0.036338,-0.045542,-0.238824,2.287643,-0.105367,0.104788,-0.036338,,,,,,,0
40,1787663185.9493,1787663185.9493,0.05098,-0.033748,-0.211689,2.735088,-0.521553,0.118117,-0.033748,-0.029623,-0.221370,2.232999,-0.002011,0.122241,-0.018885,-0.029623,-0.221370,2.232999,-0.002011,0.122241,-0.018885,,,,,,,0
41,1787663186.0163,1787663186.0163,0.067,-0.035282,-0.211689,2.618505,-0.424913,0.108913,-0.027612,-0.073154,-0.235756,2.023798,0.212167,0.104788,-0.036338,-0.073154,-0.235756,2.023798,0.212167,0.104788,-0.036338,,,,,,,0
42,1787663186.0533,1787663186.0533,0.037,-0.035282,-0.211689,2.544874,-0.363553,0.108913,-0.032214,-0.107856,-0.215235,1.946144,0.376882,0.120707,-0.014283,-0.107856,-0.215235,1.946144,0.376882,0.120707,-0.014283,,,,,,,0
43,1787663186.1043,1787663186.1043,0.051,-0.035282,-0.211689,2.442097,-0.253107,0.113515,-0.021476,-0.146785,-0.232688,1.888808,0.437662,0.103254,-0.027134,-0.146785,-0.232688,1.888808,0.437662,0.103254,-0.027134,,,,,,,0
44,1787663186.1713,1787663186.1713,0.067,-0.033748,-0.210155,2.323981,-0.113515,0.119651,-0.024544,-0.176885,-0.215235,1.860241,0.580901,0.122241,-0.005079,-0.176885,-0.215235,1.860241,0.580901,0.122241,-0.005079,,,,,,,0
45,1787663186.2083,1787663186.2083,0.03701,-0.047553,-0.208621,2.248816,-0.027612,0.119651,-0.018408,-0.238824,-0.232688,1.828982,0.615604,0.104788,-0.010261,-0.238824,-0.232688,1.828982,0.615604,0.104788,-0.010261,,,,,,,0
46,1787663186.2593,1787663186.2593,0.05099,-0.088971,-0.208621,2.139903,0.104311,0.119651,-0.021476,-0.344089,-0.213701,1.838766,0.715892,0.122241,0.157523,-0.344089,-0.213701,1.838766,0.715892,0.122241,0.157523,,,,,,,0
47,1787663186.2963,1787663186.2963,0.03701,-0.121184,-0.208621,2.073942,0.188680,0.110447,-0.009204,-0.393756,-0.231154,1.821312,0.707642,0.104788,0.225972,-0.393756,-0.231154,1.821312,0.707642,0.104788,0.225972,,,,,,,0
48,1787663186.3473,1787663186.3473,0.05099,-0.171806,-0.208621,1.986505,0.309864,0.108913,-0.009204,-0.449934,-0.210633,1.838766,0.729698,0.120707,0.441309,-0.449934,-0.210633,1.838766,0.729698,0.120707,0.441309,,,,,,,0
49,1787663186.4133,1787663186.4133,0.06601,-0.240835,-0.208621,1.903670,0.452524,0.108913,0.150330,-0.493465,-0.215814,1.821312,0.712244,0.103254,0.480613,-0.493465,-0.215814,1.821312,0.712244,0.103254,0.480613,,,,,,,0
50,1787663186.4503,1787663186.4503,0.03699,-0.286854,-0.208621,1.874525,0.516952,0.108913,0.259243,-0.511293,-0.183021,1.838766,0.729698,0.120707,0.551756,-0.511293,-0.183021,1.838766,0.729698,0.120707,0.551756,,,,,,,0
51,1787663186.5023,1787663186.5023,0.05203,-0.354350,-0.208621,1.845379,0.602854,0.110447,0.437185,-0.562494,-0.197406,1.821312,0.712244,0.103254,0.538904,-0.562494,-0.197406,1.821312,0.712244,0.103254,0.538904,,,,,,,0
52,1787663186.5693,1787663186.5693,0.06698,-0.431049,-0.194816,1.840777,0.678020,0.119651,0.553767,-0.558846,-0.173817,1.838766,0.729698,0.120707,0.557892,-0.558846,-0.173817,1.838766,0.729698,0.120707,0.557892,,,,,,,0
53,1787663186.6053,1787663186.6053,0.036,-0.463262,-0.181010,1.845379,0.704097,0.119651,0.550699,-0.582435,-0.180532,1.821312,0.713778,0.101720,0.540438,-0.582435,-0.180532,1.821312,0.713778,0.101720,0.540438,,,,,,,0
54,1787663186.6573,1787663186.6573,0.05199,-0.509282,-0.176408,1.845379,0.725573,0.116583,0.543029,-0.572652,-0.129332,1.838766,0.731232,0.119173,0.557892,-0.572652,-0.129332,1.838766,0.731232,0.119173,0.557892,,,,,,,0
