step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787663224.4473,1787663224.4473,0.0,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,1
1,1787663224.4943,1787663224.4943,0.047,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
2,1787663224.5603,1787663224.5603,0.066,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
3,1787663224.5993,1787663224.5993,0.039,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
4,1787663224.6393,1787663224.6393,0.04001,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
5,1787663224.6963,1787663224.6963,0.05699,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
6,1787663224.7513,1787663224.7513,0.05501,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
7,1787663224.7913,1787663224.7913,0.03999,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
8,1787663224.8473,1787663224.8473,0.05601,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
9,1787663224.8863,1787663224.8863,0.03899,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
10,1787663224.9433,1787663224.9433,0.05699,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
11,1787663224.9993,1787663224.9993,0.05601,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
12,1787663225.0383,1787663225.0383,0.03899,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,,,,,,,0
13,1787663225.0953,1787663225.0953,0.05701,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.118117,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.118117,-0.018408,,,,,,,0
14,1787663225.1343,1787663225.1343,0.03901,-0.023010,-0.222427,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
15,1787663225.1943,1787663225.1943,0.05998,-0.023010,-0.222427,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
16,1787663225.2493,1787663225.2493,0.055,-0.023010,-0.222427,2.971321,-0.696427,0.116583,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,,,,,,,0
17,1787663225.2883,1787663225.2883,0.03901,-0.023010,-0.222427,2.971321,-0.696427,0.116583,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,,,,,,,0
18,1787663225.3463,1787663225.3463,0.058,-0.023010,-0.222427,2.971321,-0.696427,0.116583,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,,,,,,,0
19,1787663225.4023,1787663225.4023,0.05601,-0.023010,-0.222427,2.971321,-0.696427,0.116583,-0.026078,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,,,,,,,0
