step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787663101.2223,1787663101.2223,0.0,-0.023010,-0.225495,2.971321,-0.696427,0.108913,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,1
1,1787663101.2903,1787663101.2903,0.06801,-0.023010,-0.225495,2.971321,-0.696427,0.108913,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
2,1787663101.3293,1787663101.3293,0.039,-0.023010,-0.225495,2.971321,-0.696427,0.108913,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
3,1787663101.3853,1787663101.3853,0.056,-0.023010,-0.225495,2.971321,-0.696427,0.108913,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
4,1787663101.4253,1787663101.4253,0.04,-0.023010,-0.225495,2.971321,-0.696427,0.108913,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
5,1787663101.4823,1787663101.4823,0.057,-0.023010,-0.225495,2.971321,-0.696427,0.108913,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.019942,,,,,,,0
6,1787663101.5373,1787663101.5373,0.05502,-0.023010,-0.225495,2.971321,-0.696427,0.108913,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
7,1787663101.5773,1787663101.5773,0.03999,-0.023010,-0.225495,2.971321,-0.696427,0.110447,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
8,1787663101.6323,1787663101.6323,0.05501,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
9,1787663101.6713,1787663101.6713,0.03899,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
10,1787663101.7293,1787663101.7293,0.05799,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
11,1787663101.7683,1787663101.7683,0.03903,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
12,1787663101.8293,1787663101.8293,0.06099,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.018408,,,,,,,0
13,1787663101.8943,1787663101.8943,0.065,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.118117,-0.018408,-0.036816,-0.227029,3.198350,-0.702563,0.118117,-0.018408,,,,,,,0
14,1787663101.9333,1787663101.9333,0.03899,-0.023010,-0.225495,2.971321,-0.696427,0.111981,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
15,1787663101.9893,1787663101.9893,0.056,-0.023010,-0.225495,2.971321,-0.696427,0.113515,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,-0.036816,-0.227029,3.199884,-0.702563,0.115049,-0.018408,,,,,,,0
16,1787663102.0293,1787663102.0293,0.04,-0.023010,-0.225495,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,-0.036816,-0.227029,3.199884,-0.702563,0.116583,-0.021476,,,,,,,0
17,1787663102.0853,1787663102.0853,0.05601,-0.023010,-0.225495,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,,,,,,,0
18,1787663102.1253,1787663102.1253,0.04,-0.023010,-0.225495,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,-0.036816,-0.227029,3.198350,-0.702563,0.116583,-0.024544,,,,,,,0
19,1787663102.1823,1787663102.1823,0.05702,-0.023010,-0.225495,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,-0.036816,-0.227029,3.196816,-0.702563,0.116583,-0.018408,,,,,,,0
20,1787663102.2373,1787663102.2373,0.05498,-0.023010,-0.225495,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.223961,3.192214,-0.702563,0.116583,-0.018408,-0.036816,-0.223961,3.192214,-0.702563,0.116583,-0.018408,,,,,,,0
21,1787663102.2763,1787663102.2763,0.039,-0.023010,-0.225495,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.223961,3.190680,-0.702563,0.119650,-0.027612,-0.036816,-0.223961,3.190680,-0.702563,0.119650,-0.027612,,,,,,,0
22,1787663102.3333,1787663102.3333,0.05699,-0.023010,-0.225495,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.223961,3.190680,-0.702563,0.119650,-0.029146,-0.036816,-0.223961,3.190680,-0.702563,0.119650,-0.029146,,,,,,,0
23,1787663102.3723,1787663102.3723,0.03899,-0.023010,-0.220893,2.971321,-0.696427,0.115049,-0.026078,-0.036816,-0.223961,3.192214,-0.702563,0.119650,-0.029146,-0.036816,-0.223961,3.192214,-0.702563,0.119650,-0.029146,,,,,,,0
24,1787663102.4293,1787663102.4293,0.05702,-0.023010,-0.219359,2.971321,-0.696427,0.118117,-0.026078,-0.036816,-0.223961,3.198350,-0.702563,0.118117,-0.029146,-0.036816,-0.223961,3.198350,-0.702563,0.118117,-0.029146,,,,,,,0
25,1787663102.4683,1787663102.4683,0.039,-0.023010,-0.219359,2.971321,-0.696427,0.118117,-0.026078,-0.036816,-0.225495,3.198350,-0.702563,0.118117,-0.029146,-0.036816,-0.225495,3.198350,-0.702563,0.118117,-0.029146,,,,,,,0
26,1787663102.5283,1787663102.5283,0.06,-0.023010,-0.219359,2.971321,-0.696427,0.118117,-0.026078,-0.036816,-0.227029,3.192214,-0.702563,0.118117,-0.029146,-0.036816,-0.227029,3.192214,-0.702563,0.118117,-0.029146,,,,,,,0
27,1787663102.5943,1787663102.5943,0.06599,-0.023010,-0.219359,2.971321,-0.696427,0.118117,-0.026078,-0.036816,-0.228563,3.190680,-0.704097,0.118117,-0.029146,-0.036816,-0.228563,3.190680,-0.704097,0.118117,-0.029146,,,,,,,0
28,1787663102.6333,1787663102.6333,0.03902,-0.023010,-0.219359,2.971321,-0.696427,0.118117,-0.026078,-0.036816,-0.228563,3.184544,-0.710233,0.118117,-0.029146,-0.036816,-0.228563,3.184544,-0.710233,0.118117,-0.029146,,,,,,,0
29,1787663102.6683,1787663102.6683,0.03499,-0.023010,-0.219359,2.971321,-0.696427,0.118117,-0.026078,-0.036816,-0.228563,3.167670,-0.710233,0.116583,-0.029146,-0.036816,-0.228563,3.167670,-0.710233,0.116583,-0.029146,,,,,,,0
30,1787663102.7303,1787663102.7303,0.06201,-0.023010,-0.219359,2.971321,-0.696427,0.118117,-0.026078,-0.036816,-0.228563,3.123185,-0.707165,0.116583,-0.027612,-0.036816,-0.228563,3.123185,-0.707165,0.116583,-0.027612,,,,,,,1
31,1787663102.7853,1787663102.7853,0.05498,-0.023010,-0.219359,2.971321,-0.702563,0.118117,-0.026078,-0.036816,-0.228563,3.084835,-0.704097,0.116583,-0.027612,-0.036816,-0.228563,3.084835,-0.704097,0.116583,-0.027612,,,,,,,0
