step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
0,1787660250.3629,1787660250.3776,0.06275,-0.131922,-0.533825,2.888486,0.288388,0.041417,-0.024544,-0.136376,-0.504825,2.893999,0.299268,0.114019,-0.018036,-0.136400,-0.504800,2.894000,0.299300,0.114000,-0.018000,,,,,,,1
1,1787660250.3997,1787660250.4134,0.03685,-0.131922,-0.533825,2.888486,0.288388,0.041417,-0.024544,-0.148005,-0.506608,2.928509,0.299150,0.112983,-0.020225,-0.148000,-0.506600,2.928500,0.299200,0.113000,-0.020200,,,,,,,1
2,1787660250.4511,1787660250.4656,0.05139,-0.131922,-0.533825,2.888486,0.288388,0.041417,-0.024544,-0.146785,-0.507984,2.720721,0.299626,0.089409,-0.012905,-0.146800,-0.508000,2.720700,0.299600,0.089400,-0.012900,,,,,,,0
3,1787660250.5179,1787660250.5326,0.06679,-0.131922,-0.532291,2.888486,0.289922,0.050621,-0.024544,-0.144898,-0.505315,2.643152,0.305519,0.095746,-0.018757,-0.144900,-0.505300,2.643200,0.305500,0.095700,-0.018800,,,,,,,0
4,1787660250.555,1787660250.5696,0.03709,-0.136524,-0.520019,2.900758,0.288388,0.076699,-0.023010,-0.143562,-0.498214,2.647202,0.306835,0.109109,-0.020941,-0.143600,-0.498200,2.647200,0.306800,0.109100,-0.020900,,,,,,,0
5,1787660250.6063,1787660250.6196,0.05125,-0.138058,-0.504680,2.905360,0.288388,0.096641,-0.018408,-0.142851,-0.501540,2.594011,0.320663,0.096270,-0.020661,-0.142900,-0.501500,2.594000,0.320700,0.096300,-0.020700,,,,,,,0
6,1787660250.6729,1787660250.6874,0.06665,-0.138058,-0.500078,2.894622,0.288388,0.104311,-0.018408,-0.150978,-0.490869,2.564266,0.310408,0.098710,-0.021771,-0.151000,-0.490900,2.564300,0.310400,0.098700,-0.021800,,,,,,,0
7,1787660250.7097,1787660250.7247,0.03682,-0.138058,-0.497010,2.886952,0.296058,0.104311,-0.018408,-0.151463,-0.474605,2.543267,0.311623,0.142648,-0.019385,-0.151500,-0.474600,2.543300,0.311600,0.142600,-0.019400,,,,,,,0
8,1787660250.761,1787660250.7747,0.05128,-0.138058,-0.497010,2.837864,0.319068,0.102777,-0.018408,-0.149712,-0.457957,2.518162,0.327864,0.138227,-0.020843,-0.149700,-0.458000,2.518200,0.327900,0.138200,-0.020800,,,,,,,0
9,1787660250.8278,1787660250.8427,0.06678,-0.142660,-0.481670,2.733554,0.316000,0.104311,-0.018408,-0.152623,-0.444094,2.495727,0.328039,0.131850,-0.026315,-0.152600,-0.444100,2.495700,0.328000,0.131900,-0.026300,,,,,,,0
10,1787660250.8649,1787660250.8794,0.03708,-0.144194,-0.470932,2.679864,0.316000,0.121184,-0.018408,-0.160282,-0.419456,2.457485,0.335901,0.139672,-0.020624,-0.160300,-0.419500,2.457500,0.335900,0.139700,-0.020600,,,,,,,0
11,1787660250.9163,1787660250.9297,0.05146,-0.144194,-0.457126,2.610835,0.322136,0.136524,-0.018408,-0.166347,-0.426254,2.441285,0.339507,0.112169,-0.017643,-0.166300,-0.426300,2.441300,0.339500,0.112200,-0.017600,,,,,,,0
