step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786977856.9045,1786977857.2532,2.30075,-1.1429,-104.7473,95.9121,78.3297,-83.5604,2.1825,-1.5039,-103.9942,95.4554,79.7206,-83.5080,1.7415,-1.5039,-103.9942,95.4554,79.7206,-83.5080,1.7415,0,0,0,0,0,0,1
1,1786977857.2544,1786977857.26,0.34994,-1.1429,-104.7473,95.9121,78.3297,-83.5604,2.1825,-1.3746,-104.2328,94.3566,79.8546,-83.0842,1.6015,-1.3746,-104.2328,94.3566,79.8546,-83.0842,1.6015,0,0,0,0,0,0,1
2,1786977857.2877,1786977857.292,0.03326,-1.1429,-104.7473,95.9121,78.3297,-83.5604,2.1825,-1.2016,-103.6914,95.5485,80.7026,-83.2060,1.5187,-1.2016,-103.6914,95.5485,80.7026,-83.2060,1.5187,0,0,0,0,0,0,0
3,1786977857.3211,1786977857.3252,0.03338,-1.1429,-104.8352,95.4725,78.9451,-83.5604,2.0503,-1.6411,-104.6954,94.3414,80.4419,-83.3483,1.6666,-1.6411,-104.6954,94.3414,80.4419,-83.3483,1.6666,0,-50,-150,300,0,-100,0
4,1786977857.3544,1786977857.3586,0.03336,-1.1429,-104.8352,95.2967,79.7363,-83.4725,1.9180,-1.9328,-105.1639,94.5436,80.6057,-83.6670,1.9029,-1.9328,-105.1639,94.5436,80.6057,-83.6670,1.9029,0,0,-50,300,50,-100,0
5,1786977857.3878,1786977857.3919,0.03337,-1.1429,-104.6593,95.4725,80.0000,-83.4725,1.9180,-2.0487,-104.9990,94.5147,81.1357,-83.8675,1.8216,-2.0487,-104.9990,94.5147,81.1357,-83.8675,1.8216,0,50,0,50,0,0,0
6,1786977857.4213,1786977857.4254,0.03348,-1.4945,-104.9231,95.2088,80.0879,-83.4725,1.9180,-1.8067,-104.2637,93.8531,81.2801,-83.9304,1.7193,-1.8067,-104.2637,93.8531,81.2801,-83.9304,1.7193,-100,-100,-100,50,0,0,0
7,1786977857.4546,1786977857.4586,0.03332,-1.8462,-105.2747,95.2088,80.5275,-83.5604,1.9180,-1.7996,-104.2843,94.6960,80.8245,-84.1204,1.7390,-1.7996,-104.2843,94.6960,80.8245,-84.1204,1.7390,-150,-150,0,150,0,0,0
8,1786977857.488,1786977857.492,0.03335,-1.9341,-105.0989,95.0330,80.7033,-83.6484,1.9180,-1.4327,-105.0102,93.9301,80.5782,-83.7935,1.5187,-1.4327,-105.0102,93.9301,80.5782,-83.7935,1.5187,0,50,-50,50,-50,0,0
9,1786977857.5214,1786977857.5257,0.03345,-1.8462,-105.0110,95.0330,80.7033,-83.7363,1.9180,-1.9966,-104.7500,94.2697,80.8358,-84.0838,1.6820,-1.9966,-104.7500,94.2697,80.8358,-84.0838,1.6820,0,0,0,0,-50,0,0
10,1786977857.5547,1786977857.5588,0.03334,-1.7582,-105.0110,95.0330,80.7033,-83.7363,1.9180,-1.8935,-104.6514,94.3027,81.1613,-83.5386,1.5254,-1.8935,-104.6514,94.3027,81.1613,-83.5386,1.5254,50,0,0,0,0,0,0
11,1786977857.5881,1786977857.5922,0.03335,-1.6703,-105.0110,95.0330,80.7033,-83.8242,1.9180,-2.0363,-103.6601,92.7607,81.0790,-84.2690,1.4162,-2.0363,-103.6601,92.7607,81.0790,-84.2690,1.4162,0,0,0,0,-50,0,0
12,1786977857.6216,1786977857.6261,0.03348,-1.6703,-105.0110,95.0330,80.7912,-83.7363,1.9180,-2.1819,-104.5752,92.2889,81.1083,-84.2430,1.7485,-2.1819,-104.5752,92.2889,81.1083,-84.2430,1.7485,0,0,0,50,50,0,0
13,1786977857.6549,1786977857.659,0.03333,-1.6703,-104.7473,94.7692,80.8791,-84.0000,1.9180,-2.4075,-101.8770,90.1963,81.8820,-83.9012,1.7369,-2.4075,-101.8770,90.1963,81.8820,-83.9012,1.7369,0,0,-100,50,-50,0,0
14,1786977857.6883,1786977857.6924,0.03335,-1.7582,-104.5714,94.5055,80.8791,-84.0000,1.9180,-2.0025,-99.4693,88.0684,82.1000,-84.6947,1.6860,-2.0025,-99.4693,88.0684,82.1000,-84.6947,1.6860,-50,100,-100,0,0,0,0
15,1786977857.7216,1786977857.7257,0.03338,-1.9341,-104.5714,93.8022,81.3187,-84.0000,1.9180,-2.2650,-97.7632,86.7914,82.4307,-86.1593,2.0318,-2.2650,-97.7632,86.7914,82.4307,-86.1593,2.0318,-50,-100,-150,200,0,0,0
16,1786977857.755,1786977857.7591,0.0334,-2.1978,-103.0769,92.2198,81.6703,-84.2637,1.9180,-1.9823,-94.9090,83.1734,82.6439,-87.4451,1.8410,-1.9823,-94.9090,83.1734,82.6439,-87.4451,1.8410,-50,650,-550,150,-50,0,0
17,1786977857.7884,1786977857.7925,0.03335,-2.1978,-101.1429,90.5495,81.9341,-85.0549,1.9180,-2.1983,-90.2474,80.6807,83.4624,-88.2887,1.8864,-2.1983,-90.9670,80.6807,83.4624,-88.2887,1.8864,-50,600,-500,100,-300,0,0
18,1786977857.8218,1786977857.8261,0.03341,-2.1099,-99.1209,88.9670,82.2857,-86.1978,1.9180,-1.2160,-86.5513,75.1583,83.4323,-88.3989,1.7973,-1.2160,-88.8571,78.7033,83.4323,-88.3989,1.7973,0,700,-500,100,-350,0,0
19,1786977857.8553,1786977857.8596,0.03346,-2.0220,-96.3956,86.5055,82.8132,-86.9890,1.9180,-0.8192,-82.3267,70.7362,83.8277,-87.8763,1.9295,-0.8192,-86.0440,76.1538,83.8277,-87.8763,1.9295,50,950,-850,200,-300,0,0
20,1786977857.8886,1786977857.8928,0.03332,-1.9341,-93.7582,84.1319,83.0769,-87.5165,1.9180,0.5011,-78.0135,67.1682,84.8202,-88.3700,1.8473,0.5011,-83.4066,73.7802,84.8202,-88.3700,1.8473,0,900,-800,100,-200,0,0
21,1786977857.9219,1786977857.9262,0.03337,-1.4945,-91.1209,81.8462,83.3407,-87.5165,1.9180,2.7151,-73.1459,62.5110,84.6551,-86.5110,1.8184,2.7151,-80.7692,71.4945,84.6551,-86.5110,1.8184,100,900,-800,150,0,0,0
22,1786977857.9554,1786977857.9597,0.03345,-0.7912,-88.3956,79.4725,83.8681,-87.8681,1.9180,5.7160,-68.4399,57.4501,85.9093,-84.3214,1.6219,5.7160,-78.1319,69.1209,85.9093,-84.3214,1.6219,250,900,-800,150,-150,0,0
23,1786977857.9887,1786977857.993,0.0333,0.5275,-85.7582,77.0989,84.2198,-87.4286,1.9180,9.1150,-62.6749,51.1706,86.2720,-80.1499,1.6410,9.1150,-75.4066,66.8352,86.2720,-80.1499,1.6410,500,900,-800,100,150,0,0
