step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1700000000.0000,1700000000.0020,0.0000,-56.6429,-27.3681,53.2033,51.4011,-111.1923,30.0035,-56.6429,-27.3681,53.2033,51.4011,-111.1923,30.0035,-56.6429,-27.3681,53.2033,51.4011,-111.1923,30.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
1,1700000000.2200,1700000000.2220,0.2200,-56.6429,-27.3681,53.2033,51.4011,-111.1923,30.0035,-58.2582,-26.6978,51.3242,50.4011,-112.1923,28.6279,-58.2582,-26.6978,51.3242,50.4011,-112.1923,28.6279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
2,1700000000.2533,1700000000.2553,0.0333,-57.0201,-27.1946,52.7257,51.1708,-111.4307,29.6285,-57.6978,-23.9396,51.0055,51.4011,-111.1923,29.0704,-57.6978,-23.9396,51.0055,51.4011,-111.1923,29.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3,1700000000.2867,1700000000.2887,0.0333,-57.1784,-26.3522,52.2886,51.2238,-111.3738,29.4763,-59.0494,-23.0055,48.3352,50.4890,-112.2802,27.9280,-59.0494,-23.0055,48.3352,50.4890,-112.2802,27.9280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4,1700000000.3200,1700000000.3220,0.0333,-57.6154,-25.4860,51.2838,51.0546,-111.5899,29.0542,-58.2253,-19.9835,47.3132,51.7527,-111.2802,28.7594,-58.2253,-19.9835,47.3132,51.7527,-111.2802,28.7594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5,1700000000.3533,1700000000.3553,0.0333,-57.7578,-24.0619,50.2748,51.2154,-111.5161,28.9738,-59.3132,-18.8736,44.1154,51.1044,-112.9835,27.8503,-59.3132,-18.8736,44.1154,51.1044,-112.9835,27.8503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6,1700000000.3867,1700000000.3887,0.0333,-58.1211,-22.7191,48.7094,51.1898,-111.8658,28.6675,-58.4890,-15.6758,42.6538,52.9835,-112.6868,28.7594,-58.4890,-15.6758,42.6538,52.9835,-112.6868,28.7594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7,1700000000.4200,1700000000.4220,0.0333,-58.2070,-20.8963,47.1705,51.6030,-112.0615,28.6925,-60.0165,-14.4780,39.1044,53.4780,-114.4780,27.8503,-60.0165,-14.4780,39.1044,53.4780,-114.4780,27.8503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8,1700000000.4533,1700000000.4553,0.0333,-58.6296,-19.2352,45.1206,52.0349,-112.6375,28.4629,-59.3681,-11.5440,37.2912,56.4121,-114.3571,28.7594,-59.3681,-11.5440,37.2912,56.4121,-114.3571,28.7594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9,1700000000.4867,1700000000.4887,0.0333,-58.8021,-17.2446,43.1308,53.0431,-113.0474,28.5437,-60.6319,-10.6099,33.8297,57.4341,-116.0604,27.8503,-60.6319,-10.6099,33.8297,57.4341,-116.0604,27.8503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,1700000000.5200,1700000000.5220,0.0333,-59.2294,-15.5275,40.7670,54.0545,-113.7656,28.3547,-59.8077,-7.9396,32.7198,60.1923,-115.2363,28.7594,-59.8077,-7.9396,32.7198,60.1923,-115.2363,28.7594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11,1700000000.5533,1700000000.5553,0.0333,-59.3645,-13.5636,38.7219,55.4682,-114.1161,28.4650,-60.8077,-7.5330,30.1374,60.3352,-116.3242,27.8503,-60.8077,-7.5330,30.1374,60.3352,-116.3242,27.8503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12,1700000000.5867,1700000000.5887,0.0333,-59.7016,-12.0028,36.5403,56.5893,-114.6424,28.2974,-59.9835,-5.2143,29.9066,61.9506,-115.2363,28.7594,-59.9835,-5.2143,29.9066,61.9506,-115.2363,28.7594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13,1700000000.6200,1700000000.6220,0.0333,-59.7674,-10.2459,34.8544,57.8241,-114.7839,28.4234,-61.0714,-5.1593,28.4670,61.1264,-116.1484,27.8503,-61.0714,-5.1593,28.4670,61.1264,-116.1484,27.8503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
14,1700000000.6533,1700000000.6553,0.0333,-60.0720,-8.9294,33.2311,58.5848,-115.1092,28.2671,-60.4231,-3.5440,29.2912,62.1264,-115.1484,28.7594,-60.4231,-3.5440,29.2912,62.1264,-115.1484,28.7594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
15,1700000000.6867,1700000000.6887,0.0333,-60.1540,-7.5356,32.2298,59.4005,-115.1185,28.4013,-61.8626,-4.2802,28.1154,61.0385,-116.1484,27.8503,-61.8626,-4.2802,28.1154,61.0385,-116.1484,27.8503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
