step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1700000000.0000,1700000000.0020,0.0000,-57.1429,-27.8681,52.7033,50.9011,-111.6923,29.5490,-57.1429,-27.8681,52.7033,50.9011,-111.6923,29.5490,-57.1429,-27.8681,52.7033,50.9011,-111.6923,29.5490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
1,1700000000.2200,1700000000.2220,0.2200,-57.1429,-27.8681,52.7033,50.9011,-111.6923,29.5490,-57.7582,-26.1978,51.8242,50.9011,-111.6923,29.0824,-57.7582,-26.1978,51.8242,50.9011,-111.6923,29.0824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
2,1700000000.2533,1700000000.2553,0.0333,-57.2866,-27.4358,52.4799,50.9011,-111.6923,29.4218,-58.1978,-24.4396,50.5055,50.9011,-111.6923,28.6159,-58.1978,-24.4396,50.5055,50.9011,-111.6923,28.6159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3,1700000000.2867,1700000000.2887,0.0333,-57.4994,-26.6604,51.9781,50.9011,-111.6923,29.2020,-58.5494,-22.5055,48.8352,50.9890,-111.7802,28.3826,-58.5494,-22.5055,48.8352,50.9890,-111.7802,28.3826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4,1700000000.3200,1700000000.3220,0.0333,-57.7446,-25.5850,51.1794,50.9213,-111.7133,28.9786,-58.7253,-20.4835,46.8132,51.2527,-111.7802,28.3048,-58.7253,-20.4835,46.8132,51.2527,-111.7802,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5,1700000000.3533,1700000000.3553,0.0333,-57.9737,-24.2647,50.0698,50.9977,-111.7292,28.7949,-58.8132,-18.3736,44.6154,51.6044,-112.4835,28.3048,-58.8132,-18.3736,44.6154,51.6044,-112.4835,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6,1700000000.3867,1700000000.3887,0.0333,-58.1697,-22.7400,48.6836,51.1374,-111.9090,28.6613,-58.9890,-16.1758,42.1538,52.4835,-113.1868,28.3048,-58.9890,-16.1758,42.1538,52.4835,-113.1868,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7,1700000000.4200,1700000000.4220,0.0333,-58.3611,-21.0412,47.0241,51.4475,-112.2136,28.5641,-59.5165,-13.9780,39.6044,53.9780,-113.9780,28.3048,-59.5165,-13.9780,39.6044,53.9780,-113.9780,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8,1700000000.4533,1700000000.4553,0.0333,-58.6309,-19.2131,45.1385,52.0304,-112.6341,28.4934,-59.8681,-12.0440,36.7912,55.9121,-114.8571,28.3048,-59.8681,-12.0440,36.7912,55.9121,-114.8571,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9,1700000000.4867,1700000000.4887,0.0333,-58.9199,-17.3577,43.0171,52.9244,-113.1640,28.4420,-60.1319,-10.1099,34.3297,57.9341,-115.5604,28.3048,-60.1319,-10.1099,34.3297,57.9341,-115.5604,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,1700000000.5200,1700000000.5220,0.0333,-59.2029,-15.4819,40.8093,54.0783,-113.7352,28.4046,-60.3077,-8.4396,32.2198,59.6923,-115.7363,28.3048,-60.3077,-8.4396,32.2198,59.6923,-115.7363,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11,1700000000.5533,1700000000.5553,0.0333,-59.4610,-13.6593,38.6264,55.3714,-114.2122,28.3774,-60.3077,-7.0330,30.6374,60.8352,-115.8242,28.3048,-60.3077,-7.0330,30.6374,60.8352,-115.8242,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12,1700000000.5867,1700000000.5887,0.0333,-59.6587,-11.9443,36.5961,56.6299,-114.5964,28.3576,-60.4835,-5.7143,29.4066,61.4506,-115.7363,28.3048,-60.4835,-5.7143,29.4066,61.4506,-115.7363,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13,1700000000.6200,1700000000.6220,0.0333,-59.8513,-10.3319,34.7689,57.7403,-114.8681,28.3432,-60.5714,-4.6593,28.9670,61.6264,-115.6484,28.3048,-60.5714,-4.6593,28.9670,61.6264,-115.6484,28.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
