step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786977377.9226,1786977378.3739,2.34046,-9.7582,-104.3077,96.4396,77.7143,-76.4396,2.2487,-9.3802,-104.8308,96.8682,78.0935,-76.4673,1.9506,-9.3802,-104.8308,96.8682,78.0935,-76.4673,1.9506,0,0,0,0,0,0,1
1,1786977378.3751,1786977378.3806,0.45249,-9.7582,-104.3077,96.4396,77.7143,-76.4396,2.2487,-9.7829,-105.0019,96.3633,78.1708,-75.8001,1.8777,-9.7829,-105.0019,96.3633,78.1708,-75.8001,1.8777,0,0,0,0,0,0,1
2,1786977378.4084,1786977378.4136,0.03334,-9.7582,-104.3077,96.4396,77.7143,-76.4396,2.2487,-9.7331,-105.0481,96.7949,78.0643,-76.4519,1.7795,-9.7331,-105.0481,96.7949,78.0643,-76.4519,1.7795,0,0,0,0,0,0,0
3,1786977378.4418,1786977378.4463,0.03338,-9.7582,-104.3077,96.4396,77.8022,-76.4396,2.2487,-9.7937,-105.2015,96.3462,78.5717,-76.5017,1.7296,-9.7937,-105.2015,96.3462,78.5717,-76.5017,1.7296,0,0,0,0,0,0,0
4,1786977378.4752,1786977378.4796,0.03338,-9.7582,-104.4835,96.4396,77.8022,-76.4396,2.2487,-9.9069,-105.4124,97.0701,78.7285,-76.6810,1.8092,-9.9069,-105.4124,97.0701,78.7285,-76.6810,1.8092,0,-50,0,0,0,0,0
5,1786977378.5086,1786977378.5131,0.03341,-9.7582,-104.8352,96.4396,78.1538,-76.4396,2.2487,-10.1824,-105.6411,96.9597,78.6784,-76.6171,1.6730,-10.1824,-105.6411,96.9597,78.6784,-76.6171,1.6730,0,-150,0,150,0,0,0
6,1786977378.5419,1786977378.5464,0.03338,-9.7582,-104.8352,96.4396,78.3297,-76.4396,2.2487,-10.3703,-106.0717,96.6153,78.8992,-76.3255,1.6917,-10.3703,-106.0717,96.6153,78.8992,-76.3255,1.6917,0,0,0,50,0,0,0
7,1786977378.5754,1786977378.5798,0.03341,-9.7582,-105.0110,96.4396,78.3297,-76.4396,2.2487,-10.1122,-105.2323,96.7684,78.8508,-75.8664,1.6939,-10.1122,-105.2323,96.7684,78.8508,-75.8664,1.6939,0,-50,0,0,0,0,0
8,1786977378.6088,1786977378.6132,0.0334,-9.9341,-105.0110,96.4396,78.5055,-76.4396,2.2487,-10.0468,-104.9087,96.0743,78.8518,-76.4299,1.8106,-10.0468,-104.9087,96.0743,78.8518,-76.4299,1.8106,-50,0,0,50,0,0,0
9,1786977378.6421,1786977378.6465,0.03335,-10.1099,-105.0989,96.4396,78.5055,-76.4396,2.2487,-10.3005,-105.7369,96.5684,79.6989,-76.5787,1.7483,-10.3005,-105.7369,96.5684,79.6989,-76.5787,1.7483,-50,-50,0,0,0,0,0
10,1786977378.6755,1786977378.6801,0.03343,-10.1978,-105.0989,96.4396,78.5055,-76.3516,2.2487,-10.1587,-105.3397,96.5684,79.2886,-76.4369,1.6594,-10.1587,-105.3397,96.5684,79.2886,-76.4369,1.6594,0,0,0,0,0,0,0
11,1786977378.7089,1786977378.7134,0.03341,-10.1978,-105.1868,96.4396,78.9451,-76.5275,2.2487,-10.2739,-105.4887,96.4229,79.3194,-76.7087,1.7035,-10.2739,-105.4887,96.4229,79.3194,-76.7087,1.7035,0,0,0,200,-100,0,0
12,1786977378.7423,1786977378.7468,0.03339,-10.1099,-105.1868,96.4396,79.0330,-76.6154,2.2487,-10.1942,-105.5131,96.6327,79.1706,-76.5919,1.7023,-10.1942,-105.5131,96.6327,79.1706,-76.5919,1.7023,50,0,0,0,0,0,0
13,1786977378.7757,1786977378.7802,0.03339,-10.1099,-105.1868,96.4396,79.0330,-76.6154,2.2487,-10.1639,-105.4502,96.6335,78.4278,-76.8136,1.7225,-10.1639,-105.4502,96.6335,78.4278,-76.8136,1.7225,0,0,0,0,0,0,0
14,1786977378.8091,1786977378.8136,0.0334,-10.1099,-105.1868,96.4396,79.0330,-76.6154,2.2487,-10.3687,-105.2060,96.3434,79.1667,-76.7494,1.7301,-10.3687,-105.2060,96.3434,79.1667,-76.7494,1.7301,0,0,0,0,0,0,0
