step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1787057991.2942,1787057991.6551,2.37779,0.3516,-96.8352,96.9670,77.2747,-88.3077,2.3148,0.5210,-97.0306,99.1150,77.3857,-88.4035,2.4223,0.5210,-97.0306,99.1150,77.3857,-88.4035,2.4223,0,0,0,0,0,0,1
1,1787057991.6563,1787057991.6616,0.36209,0.3516,-96.8352,96.9670,77.2747,-88.3077,2.3148,0.5674,-97.3383,99.0279,77.3254,-88.2655,2.3450,0.5674,-97.3383,99.0279,77.3254,-88.2655,2.3450,0,0,0,0,0,0,1
2,1787057991.6896,1787057991.694,0.03333,0.3516,-96.8352,96.9670,77.2747,-88.3077,2.3148,0.5488,-97.3893,99.1632,77.2482,-88.4551,2.3257,0.5488,-97.3893,99.1632,77.2482,-88.4551,2.3257,0,0,0,0,0,0,0
3,1787057991.723,1787057991.7273,0.03341,0.3516,-96.9231,97.2308,77.2747,-88.3077,2.3148,0.5338,-97.5463,99.1188,77.2149,-88.2910,2.3354,0.5338,-97.5463,99.1188,77.2149,-88.2910,2.3354,0,0,50,0,0,0,0
4,1787057991.7564,1787057991.7606,0.03337,0.4396,-97.0989,97.3187,77.2747,-88.3077,2.3148,0.6041,-97.6392,99.0374,77.2360,-88.2349,2.3270,0.6041,-97.6392,99.0374,77.2360,-88.2349,2.3270,50,-50,0,0,0,0,0
5,1787057991.7897,1787057991.794,0.03336,0.4396,-97.2747,97.3187,77.2747,-88.3077,2.3148,0.5700,-97.7595,99.2898,77.1884,-88.0901,2.3193,0.5700,-97.7595,99.2898,77.1884,-88.0901,2.3193,0,-50,0,0,0,0,0
6,1787057991.8231,1787057991.8273,0.0334,0.4396,-97.3626,97.3187,77.2747,-88.3077,2.3148,0.5547,-97.6520,99.2399,77.0872,-88.0786,2.3831,0.5547,-97.6520,99.2399,77.0872,-88.0786,2.3831,0,0,0,0,0,0,0
7,1787057991.8565,1787057991.8607,0.03339,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.6095,-97.5321,99.0179,77.3064,-87.9703,2.4041,0.6095,-97.5321,99.0179,77.3064,-87.9703,2.4041,0,0,0,0,0,0,0
8,1787057991.8899,1787057991.8941,0.0334,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.5745,-97.3975,98.9021,77.2772,-87.8391,2.4186,0.5745,-97.3975,98.9021,77.2772,-87.8391,2.4186,0,0,0,0,0,0,0
9,1787057991.9233,1787057991.9274,0.03337,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.5904,-97.1656,98.7521,77.3069,-87.7667,2.4222,0.5904,-97.1656,98.7521,77.3069,-87.7667,2.4222,0,0,0,0,0,0,0
10,1787057991.9567,1787057991.9608,0.0334,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.6138,-97.5633,98.7641,77.4509,-88.0737,2.3496,0.6138,-97.5633,98.7641,77.4509,-88.0737,2.3496,0,0,0,0,0,0,0
11,1787057991.9901,1787057991.9942,0.03336,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.6286,-97.3880,98.6778,77.5338,-88.1028,2.3868,0.6286,-97.3880,98.6778,77.5338,-88.1028,2.3868,0,0,0,0,0,0,0
12,1787057992.0235,1787057992.0276,0.0334,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.6883,-97.4977,98.7640,77.6275,-88.1002,2.3832,0.6883,-97.4977,98.7640,77.6275,-88.1002,2.3832,0,0,0,0,0,0,0
13,1787057992.0569,1787057992.061,0.03339,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.5499,-97.4794,98.6190,77.6535,-88.1198,2.4126,0.5499,-97.4794,98.6190,77.6535,-88.1198,2.4126,0,0,0,0,0,0,0
14,1787057992.0902,1787057992.0943,0.03336,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.5661,-97.6629,98.8414,77.6579,-88.1562,2.3722,0.5661,-97.6629,98.8414,77.6579,-88.1562,2.3722,0,0,0,0,0,0,0
15,1787057992.1236,1787057992.1277,0.03342,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.6377,-97.7495,98.6893,77.5717,-88.1022,2.4215,0.6377,-97.7495,98.6893,77.5717,-88.1022,2.4215,0,0,0,0,0,0,0
16,1787057992.157,1787057992.1612,0.03339,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.5123,-97.6010,98.5072,77.7404,-88.0673,2.3891,0.5123,-97.6010,98.5072,77.7404,-88.0673,2.3891,0,0,0,0,0,0,0
17,1787057992.1904,1787057992.1945,0.0334,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.6404,-97.8522,98.5532,77.7214,-88.0998,2.3918,0.6404,-97.8522,98.5532,77.7214,-88.0998,2.3918,0,0,0,0,0,0,0
18,1787057992.2238,1787057992.228,0.0334,0.4396,-97.4505,97.3187,77.2747,-88.3077,2.3148,0.5005,-97.5600,98.4962,77.6445,-88.0251,2.4350,0.5005,-97.5600,98.4962,77.6445,-88.0251,2.4350,0,0,0,0,0,0,0
19,1787057992.2572,1787057992.2614,0.03339,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.4746,-97.5925,98.4135,77.5760,-88.1217,2.4239,0.4746,-97.5925,98.4135,77.5760,-88.1217,2.4239,0,0,0,0,0,0,0
20,1787057992.2906,1787057992.2947,0.03335,0.4396,-97.5385,97.3187,77.2747,-88.3077,2.3148,0.4379,-97.4884,98.3597,77.5481,-88.0580,2.3936,0.4379,-97.4884,98.3597,77.5481,-88.0580,2.3936,0,0,0,0,0,0,0
