step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786707649.3556,1786707649.6367,0.05399,0.0879,-90.4176,97.2308,61.0989,-84.1758,2.9101,-0.9330,-90.2290,98.1269,63.4291,-86.6083,2.4703,-0.9330,-90.2290,98.1269,63.4291,-86.6083,2.4703,0,0,0,0,0,0,1
1,1786707649.6378,1786707649.6433,0.28219,0.0879,-90.4176,97.2308,61.0989,-84.1758,2.9101,-1.0682,-89.3417,97.0390,64.2957,-86.2819,2.6266,-1.0682,-89.3417,97.0390,64.2957,-86.2819,2.6266,0,0,0,0,0,0,1
2,1786707649.6712,1786707649.6761,0.03334,0.0879,-90.4176,97.2308,61.0989,-84.1758,2.9101,-0.8598,-90.4267,99.9205,60.9930,-83.8349,1.9449,-0.8598,-90.4267,99.9205,60.9930,-83.8349,1.9449,0,0,0,0,0,0,0
3,1786707649.7045,1786707649.71,0.03336,-0.2637,-90.4176,97.2308,62.0659,-85.0549,2.9101,-1.1665,-88.9066,96.9059,62.5820,-83.2687,2.0532,-1.1665,-88.9066,96.9059,62.5820,-83.2687,2.0532,-150,0,0,350,-400,0,0
4,1786707649.738,1786707649.7422,0.03346,-0.7912,-90.3297,97.3187,63.2088,-85.3187,2.5794,-1.5322,-88.5896,95.1294,65.7646,-84.0566,2.1169,-1.5322,-88.5896,95.1294,65.7646,-84.0566,2.1169,-100,0,50,500,-150,-200,0
5,1786707649.7713,1786707649.7755,0.03332,-0.7912,-89.9780,97.4066,62.9451,-84.7912,2.4471,0.1485,-87.8863,96.6771,63.3788,-82.1813,2.0052,0.1485,-87.8863,96.6771,63.3788,-82.1813,2.0052,-50,150,50,-100,200,-50,0
6,1786707649.8047,1786707649.8089,0.0334,-0.7033,-89.8022,96.8791,62.8571,-84.0879,2.4471,0.7968,-88.4585,94.0675,63.6040,-83.7353,1.8218,0.7968,-88.4585,94.0675,63.6040,-83.7353,1.8218,50,50,-150,0,200,0,0
7,1786707649.8381,1786707649.8424,0.03342,-0.7033,-89.1868,96.1758,63.2088,-83.7363,2.4471,-0.1491,-89.0206,94.4775,63.0335,-82.3255,1.8629,-0.1491,-89.0206,94.4775,63.0335,-82.3255,1.8629,0,200,-250,150,0,0,0
8,1786707649.8715,1786707649.8757,0.03336,-0.0879,-88.8352,95.6484,63.2088,-83.2088,2.3148,-0.2565,-89.3282,95.1346,65.6631,-83.5781,1.9540,-0.2565,-89.3282,95.1346,65.6631,-83.5781,1.9540,150,50,-200,0,200,-50,0
9,1786707649.9049,1786707649.9093,0.03343,0.1758,-88.9231,95.4725,63.2088,-83.2088,2.3148,-0.0951,-89.2922,96.8861,64.6132,-83.2531,2.1210,-0.0951,-89.2922,96.8861,64.6132,-83.2531,2.1210,100,0,-50,0,0,0,0
