step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1787056927.4015,1787056927.8744,3.41121,-1.3187,-96.8352,95.4725,75.6923,-90.8571,1.5212,-0.9330,-95.3417,90.2056,76.0730,-90.7947,1.4488,-0.9330,-95.3417,90.2056,76.0730,-90.7947,1.4488,0,0,0,0,0,0,1
1,1787056927.8755,1787056927.8811,0.47403,-1.3187,-96.8352,95.4725,75.6923,-90.8571,1.5212,0.0376,-94.4369,88.1792,76.4773,-91.9863,1.4126,0.0376,-94.4369,88.1792,76.4773,-91.9863,1.4126,0,0,0,0,0,0,1
2,1787056927.9089,1787056927.914,0.03334,-1.3187,-96.8352,95.4725,75.7802,-90.8571,1.5212,-0.1868,-95.0994,86.3961,77.4712,-91.8403,1.4946,-0.1868,-95.0994,86.3961,77.4712,-91.8403,1.4946,0,0,0,0,0,0,0
3,1787056927.9423,1787056927.9473,0.03342,-0.8791,-96.3956,95.2088,76.0440,-91.0330,1.5212,0.3288,-92.3299,84.2412,78.4006,-91.3406,1.5668,0.3288,-92.3299,85.1209,78.4006,-91.3406,1.5668,100,100,-50,100,0,0,0
4,1787056927.9756,1787056927.9808,0.03334,-0.4396,-95.6044,93.8022,76.7473,-91.5604,1.5212,-0.2287,-90.9322,81.0507,79.4212,-90.8232,1.4159,-0.2287,-90.9322,83.4505,79.4212,-90.8232,1.4159,150,300,-550,250,-200,0,0
5,1787056928.009,1787056928.014,0.03337,-0.5275,-95.2527,91.3407,77.5385,-91.3846,1.5212,1.2797,-87.5101,75.7546,81.8897,-89.5561,1.2451,1.2797,-87.5101,81.0769,81.8897,-89.5561,1.2451,50,100,-800,250,50,0,0
6,1787056928.0424,1787056928.0472,0.03342,-0.7033,-94.0220,89.1429,78.2418,-90.9451,1.5212,2.1977,-85.3218,72.8120,84.3207,-89.1514,1.4045,2.1977,-85.3218,78.7912,84.3207,-89.1514,1.4045,-100,400,-750,250,150,0,0
7,1787056928.0759,1787056928.081,0.03343,-0.1758,-92.2637,86.7692,79.5604,-90.5055,1.5212,4.2128,-81.7089,68.4441,85.5507,-87.5707,1.3625,4.2128,-81.9121,76.4176,85.5507,-87.5707,1.3625,200,600,-800,450,150,0,0
8,1787056928.1093,1787056928.1145,0.03344,0.8791,-89.9780,84.7473,81.4945,-90.0659,1.5212,5.4062,-78.5056,62.3465,88.0767,-85.8523,0.8890,5.4062,-79.6264,74.3956,88.0767,-85.8523,0.8890,350,800,-750,700,200,0,0
9,1787056928.1426,1787056928.1476,0.03332,1.7582,-87.6044,82.4615,83.2527,-89.2747,1.5212,7.4715,-76.0368,58.7604,90.6927,-83.6325,0.9468,7.4715,-77.2527,72.1099,90.6927,-83.6325,0.9468,250,750,-750,550,300,0,0
